DECADE,NHGISNAM,NHGISST,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,STATENAM,ICPSRSTI,ICPSRCTYI,ICPSRFIP,STATE,COUNTY,PID,X_CENTROID,Y_CENTROID,GISJOIN,GISJOIN2,SHAPE_AREA,SHAPE_LEN,FID_US_sta,LEFT_FID,RIGHT_FID,FID_US_s_1,LEFT_FID_1,RIGHT_FID_,Shape_Leng,border,layer,path
"1810",Gallatin,"210","0770","51","770",GALLATIN,Kentucky,"51","770",0.00000,"210","0770",67.00000000,942759.96568651,184452.00921599,G2100770,"2100770",1099819802.91000008583,188208.81884200001,"0","0","0","0","0","0",0.00000000000,border,Joined layer 1810,"MultiPolygon?crs=ESRI:102003&field=DECADE:string(4,0)&field=NHGISNAM:string(50,0)&field=NHGISST:string(3,0)&field=NHGISCTY:string(4,0)&field=ICPSRST:string(3,0)&field=ICPSRCTY:string(4,0)&field=ICPSRNAM:string(35,0)&field=STATENAM:string(25,0)&field=ICPS"
"1810",Columbiana,"390","0290","24","290",COLUMBIANA,Ohio,"24","290",0.00000,"390","0290",351.00000000,1265880.04193400,468693.69558287,G3900290,"3900290",2204988644.19999980927,190180.93703999999,"0","0","0","0","0","0",0.00000000000,border,Joined layer 1810,"MultiPolygon?crs=ESRI:102003&field=DECADE:string(4,0)&field=NHGISNAM:string(50,0)&field=NHGISST:string(3,0)&field=NHGISCTY:string(4,0)&field=ICPSRST:string(3,0)&field=ICPSRCTY:string(4,0)&field=ICPSRNAM:string(35,0)&field=STATENAM:string(25,0)&field=ICPS"
"1810",Adams,"390","0010","24","10",ADAMS,Ohio,"24","10",0.00000,"390","0010",344.00000000,1069836.36184554,221180.72913895,G3900010,"3900010",1882140248.29999995232,190205.93535099999,"0","0","0","0","0","0",0.00000000000,border,Joined layer 1810,"MultiPolygon?crs=ESRI:102003&field=DECADE:string(4,0)&field=NHGISNAM:string(50,0)&field=NHGISST:string(3,0)&field=NHGISCTY:string(4,0)&field=ICPSRST:string(3,0)&field=ICPSRCTY:string(4,0)&field=ICPSRNAM:string(35,0)&field=STATENAM:string(25,0)&field=ICPS"
"1810",Mason,"210","1610","51","1610",MASON,Kentucky,"51","1610",0.00000,"210","1610",188.00000000,1047500.43688675,189899.23109892,G2101610,"2101610",646943561.91400003433,106175.53833400000,"0","0","0","0","0","0",0.00000000000,border,Joined layer 1810,"MultiPolygon?crs=ESRI:102003&field=DECADE:string(4,0)&field=NHGISNAM:string(50,0)&field=NHGISST:string(3,0)&field=NHGISCTY:string(4,0)&field=ICPSRST:string(3,0)&field=ICPSRCTY:string(4,0)&field=ICPSRNAM:string(35,0)&field=STATENAM:string(25,0)&field=ICPS"
"1810",Henderson,"210","1010","51","1010",HENDERSON,Kentucky,"51","1010",0.00000,"210","1010",178.00000000,721671.63509624,53561.17433242,G2101010,"2101010",2747051057.13999986649,335939.23463199998,"0","0","0","0","0","0",0.00000000000,border,Joined layer 1810,"MultiPolygon?crs=ESRI:102003&field=DECADE:string(4,0)&field=NHGISNAM:string(50,0)&field=NHGISST:string(3,0)&field=NHGISCTY:string(4,0)&field=ICPSRST:string(3,0)&field=ICPSRCTY:string(4,0)&field=ICPSRNAM:string(35,0)&field=STATENAM:string(25,0)&field=ICPS"
"1810",Ohio,"210","1830","51","1830",OHIO,Kentucky,"51","1830",0.00000,"210","1830",192.00000000,788616.25006975,47786.50470961,G2101830,"2101830",3367153241.07999992371,383467.51252799999,"0","0","0","0","0","0",0.00000000000,border,Joined layer 1810,"MultiPolygon?crs=ESRI:102003&field=DECADE:string(4,0)&field=NHGISNAM:string(50,0)&field=NHGISST:string(3,0)&field=NHGISCTY:string(4,0)&field=ICPSRST:string(3,0)&field=ICPSRCTY:string(4,0)&field=ICPSRNAM:string(35,0)&field=STATENAM:string(25,0)&field=ICPS"
"1810",Washington,"390","1670","24","1670",WASHINGTON,Ohio,"24","1670",0.00000,"390","1670",577.00000000,1222509.87002988,320883.20444910,G3901670,"3901670",3044145656.94000005722,309218.97425400000,"0","0","0","0","0","0",0.00000000000,border,Joined layer 1810,"MultiPolygon?crs=ESRI:102003&field=DECADE:string(4,0)&field=NHGISNAM:string(50,0)&field=NHGISST:string(3,0)&field=NHGISCTY:string(4,0)&field=ICPSRST:string(3,0)&field=ICPSRCTY:string(4,0)&field=ICPSRNAM:string(35,0)&field=STATENAM:string(25,0)&field=ICPS"
"1810",Breckinridge,"210","0270","51","270",BRECKINRIDGE,Kentucky,"51","270",0.00000,"210","0270",54.00000000,828770.95059691,77624.10891429,G2100270,"2100270",2047885840.00000000000,330907.69989400002,"0","0","0","0","0","0",0.00000000000,border,Joined layer 1810,"MultiPolygon?crs=ESRI:102003&field=DECADE:string(4,0)&field=NHGISNAM:string(50,0)&field=NHGISST:string(3,0)&field=NHGISCTY:string(4,0)&field=ICPSRST:string(3,0)&field=ICPSRCTY:string(4,0)&field=ICPSRNAM:string(35,0)&field=STATENAM:string(25,0)&field=ICPS"
"1810",Fayette,"420","0510","14","510",FAYETTE,Pennsylvania,"14","510",0.00000,"420","0510",389.00000000,1378518.06807883,390094.94707512,G4200510,"4200510",2066812707.51999974251,243684.17378200000,"0","0","0","0","0","0",0.00000000000,border,Joined layer 1810,"MultiPolygon?crs=ESRI:102003&field=DECADE:string(4,0)&field=NHGISNAM:string(50,0)&field=NHGISST:string(3,0)&field=NHGISCTY:string(4,0)&field=ICPSRST:string(3,0)&field=ICPSRCTY:string(4,0)&field=ICPSRNAM:string(35,0)&field=STATENAM:string(25,0)&field=ICPS"
"1810",Scioto,"390","1450","24","1450",SCIOTO,Ohio,"24","1450",0.00000,"390","1450",370.00000000,1122704.41958002,225800.49522089,G3901450,"3901450",2664885465.65999984741,261305.28130800001,"0","0","0","0","0","0",0.00000000000,border,Joined layer 1810,"MultiPolygon?crs=ESRI:102003&field=DECADE:string(4,0)&field=NHGISNAM:string(50,0)&field=NHGISST:string(3,0)&field=NHGISCTY:string(4,0)&field=ICPSRST:string(3,0)&field=ICPSRCTY:string(4,0)&field=ICPSRNAM:string(35,0)&field=STATENAM:string(25,0)&field=ICPS"
