DECADE,NHGISNAM,NHGISST,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,STATENAM,ICPSRSTI,ICPSRCTYI,ICPSRFIP,STATE,COUNTY,PID,X_CENTROID,Y_CENTROID,GISJOIN,GISJOIN2,SHAPE_AREA,SHAPE_LEN,LEFT_FID,RIGHT_FID,Shape_Leng,border,layer,path
"1820",Harford,"240","0250","52","230",HARFORD,Maryland,"52","230",0.00000,"240","0250",331.00000000,1663716.54012456,404036.20312955,G2400250,"2400250",1156992510.66000008583,274945.12500399997,"-1","24",4047871.85710000014,border,Joined layer 1820,"MultiPolygon?crs=ESRI:102003&field=DECADE:string(4,0)&field=NHGISNAM:string(50,0)&field=NHGISST:string(3,0)&field=NHGISCTY:string(4,0)&field=ICPSRST:string(3,0)&field=ICPSRCTY:string(4,0)&field=ICPSRNAM:string(35,0)&field=STATENAM:string(25,0)&field=ICPS"
"1820",New Castle,"100","0030","11","30",NEW CASTLE,Delaware,"11","30",0.00000,"100","0030",44.00000000,1719230.04100410,416854.77953903,G1000030,"1000030",1144705776.60999989510,278856.92445400002,"-1","24",4047871.85710000014,border,Joined layer 1820,"MultiPolygon?crs=ESRI:102003&field=DECADE:string(4,0)&field=NHGISNAM:string(50,0)&field=NHGISST:string(3,0)&field=NHGISCTY:string(4,0)&field=ICPSRST:string(3,0)&field=ICPSRCTY:string(4,0)&field=ICPSRNAM:string(35,0)&field=STATENAM:string(25,0)&field=ICPS"
"1820",Delaware,"420","0450","14","450",DELAWARE,Pennsylvania,"14","450",0.00000,"420","0450",498.00000000,1731452.57617897,459469.00571764,G4200450,"4200450",480148235.14399999380,132478.86505900000,"-1","24",4047871.85710000014,border,Joined layer 1820,"MultiPolygon?crs=ESRI:102003&field=DECADE:string(4,0)&field=NHGISNAM:string(50,0)&field=NHGISST:string(3,0)&field=NHGISCTY:string(4,0)&field=ICPSRST:string(3,0)&field=ICPSRCTY:string(4,0)&field=ICPSRNAM:string(35,0)&field=STATENAM:string(25,0)&field=ICPS"
"1820",Randolph,"170","1570","21","1570",RANDOLPH,Illinois,"21","1570",0.00000,"170","1570",201.00000000,552882.74978221,81929.17846907,G1701570,"1701570",2682412077.51999998093,267899.45021899999,"-1","24",4047871.85710000014,border,Joined layer 1820,"MultiPolygon?crs=ESRI:102003&field=DECADE:string(4,0)&field=NHGISNAM:string(50,0)&field=NHGISST:string(3,0)&field=NHGISCTY:string(4,0)&field=ICPSRST:string(3,0)&field=ICPSRCTY:string(4,0)&field=ICPSRNAM:string(35,0)&field=STATENAM:string(25,0)&field=ICPS"
"1820",Lawrence,"390","0870","24","870",LAWRENCE,Ohio,"24","870",0.00000,"390","0870",459.00000000,1157686.60942161,205340.71487574,G3900870,"3900870",1189989820.52999997139,175076.65661199999,"-1","24",4047871.85710000014,border,Joined layer 1820,"MultiPolygon?crs=ESRI:102003&field=DECADE:string(4,0)&field=NHGISNAM:string(50,0)&field=NHGISST:string(3,0)&field=NHGISCTY:string(4,0)&field=ICPSRST:string(3,0)&field=ICPSRCTY:string(4,0)&field=ICPSRNAM:string(35,0)&field=STATENAM:string(25,0)&field=ICPS"
"1820",Washington,"390","1670","24","1670",WASHINGTON,Ohio,"24","1670",0.00000,"390","1670",481.00000000,1232199.12998695,314740.88922862,G3901670,"3901670",1852279465.84000015259,245888.85580700001,"-1","24",4047871.85710000014,border,Joined layer 1820,"MultiPolygon?crs=ESRI:102003&field=DECADE:string(4,0)&field=NHGISNAM:string(50,0)&field=NHGISST:string(3,0)&field=NHGISCTY:string(4,0)&field=ICPSRST:string(3,0)&field=ICPSRCTY:string(4,0)&field=ICPSRNAM:string(35,0)&field=STATENAM:string(25,0)&field=ICPS"
"1820",Cabell,"510","0293","40","295",CABELL,Virginia,"40","295",0.00000,"510","0293",554.00000000,1197851.50434868,148803.75626215,G5100293,"5100293",5433877718.18000030518,415817.44877000002,"-1","24",4047871.85710000014,border,Joined layer 1820,"MultiPolygon?crs=ESRI:102003&field=DECADE:string(4,0)&field=NHGISNAM:string(50,0)&field=NHGISST:string(3,0)&field=NHGISCTY:string(4,0)&field=ICPSRST:string(3,0)&field=ICPSRCTY:string(4,0)&field=ICPSRNAM:string(35,0)&field=STATENAM:string(25,0)&field=ICPS"
"1820",Ohio,"510","1355","40","1355",OHIO,Virginia,"40","1355",0.00000,"510","1355",275.00000000,1294564.73804725,376176.94175792,G5101355,"5101355",1090487037.01999998093,157470.76918800001,"-1","24",4047871.85710000014,border,Joined layer 1820,"MultiPolygon?crs=ESRI:102003&field=DECADE:string(4,0)&field=NHGISNAM:string(50,0)&field=NHGISST:string(3,0)&field=NHGISCTY:string(4,0)&field=ICPSRST:string(3,0)&field=ICPSRCTY:string(4,0)&field=ICPSRNAM:string(35,0)&field=STATENAM:string(25,0)&field=ICPS"
"1820",Monroe,"170","1330","21","1330",MONROE,Illinois,"21","1330",0.00000,"170","1330",199.00000000,502114.11068564,101438.80753925,G1701330,"1701330",857687749.04299998283,116649.02296800000,"-1","24",4047871.85710000014,border,Joined layer 1820,"MultiPolygon?crs=ESRI:102003&field=DECADE:string(4,0)&field=NHGISNAM:string(50,0)&field=NHGISST:string(3,0)&field=NHGISCTY:string(4,0)&field=ICPSRST:string(3,0)&field=ICPSRCTY:string(4,0)&field=ICPSRNAM:string(35,0)&field=STATENAM:string(25,0)&field=ICPS"
"1820",Mason,"510","1137","40","1148",MASON,Virginia,"40","1148",0.00000,"510","1137",261.00000000,1210792.13998224,231456.62897588,G5101137,"5101137",2375985229.28999996185,245887.96707399999,"-1","24",4047871.85710000014,border,Joined layer 1820,"MultiPolygon?crs=ESRI:102003&field=DECADE:string(4,0)&field=NHGISNAM:string(50,0)&field=NHGISST:string(3,0)&field=NHGISCTY:string(4,0)&field=ICPSRST:string(3,0)&field=ICPSRCTY:string(4,0)&field=ICPSRNAM:string(35,0)&field=STATENAM:string(25,0)&field=ICPS"
