GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ADQ001,ADZ001,AD9001,AE6001,AE6002,AE6003
"G0100010","1850","Alabama","010","Autauga","0010","Autauga","41","10",15023,0,0,6274,19,8730
"G0100030","1850","Alabama","010","Baldwin","0030","Baldwin","41","30",4414,0,0,2100,96,2218
"G0100050","1850","Alabama","010","Barbour","0050","Barbour","41","50",23632,0,0,12842,10,10780
"G0100055","1850","Alabama","010","Benton","0055","Benton","41","150",17163,0,0,13397,3,3763
"G0100070","1850","Alabama","010","Bibb","0070","Bibb","41","70",9969,0,0,7097,11,2861
"G0100090","1850","Alabama","010","Blount","0090","Blount","41","90",7367,0,0,6941,0,426
"G0100130","1850","Alabama","010","Butler","0130","Butler","41","130",10836,0,0,7162,35,3639
"G0100170","1850","Alabama","010","Chambers","0170","Chambers","41","170",23960,0,0,12784,18,11158
"G0100190","1850","Alabama","010","Cherokee","0190","Cherokee","41","190",13884,0,0,12170,23,1691
"G0100230","1850","Alabama","010","Choctaw","0230","Choctaw","41","230",8389,0,0,4620,0,3769
"G0100250","1850","Alabama","010","Clarke","0250","Clarke","41","250",9786,0,0,4901,9,4876
"G0100310","1850","Alabama","010","Coffee","0310","Coffee","41","310",5940,0,0,5380,3,557
"G0100350","1850","Alabama","010","Conecuh","0350","Conecuh","41","350",9322,0,0,4925,3,4394
"G0100370","1850","Alabama","010","Coosa","0370","Coosa","41","370",14543,0,0,10414,9,4120
"G0100390","1850","Alabama","010","Covington","0390","Covington","41","390",3645,0,0,3077,88,480
"G0100450","1850","Alabama","010","Dale","0450","Dale","41","450",6382,0,0,5622,3,757
"G0100470","1850","Alabama","010","Dallas","0470","Dallas","41","470",29727,3073,0,7461,8,22258
"G0100490","1850","Alabama","010","DeKalb","0490","Dekalb","41","490",8245,0,0,7730,9,506
"G0100570","1850","Alabama","010","Fayette","0570","Fayette","41","570",9681,0,0,8451,9,1221
"G0100590","1850","Alabama","010","Franklin","0590","Franklin","41","590",19610,0,0,11398,15,8197
"G0100630","1850","Alabama","010","Greene","0630","Greene","41","630",31441,0,0,9265,49,22127
"G0100655","1850","Alabama","010","Hancock","0655","Hancock","41","1330",1542,0,0,1480,0,62
"G0100670","1850","Alabama","010","Henry","0670","Henry","41","670",9019,0,0,6776,1,2242
"G0100710","1850","Alabama","010","Jackson","0710","Jackson","41","710",14088,0,0,11754,42,2292
"G0100730","1850","Alabama","010","Jefferson","0730","Jefferson","41","730",8989,0,0,6714,8,2267
"G0100770","1850","Alabama","010","Lauderdale","0770","Lauderdale","41","770",17172,0,0,11097,60,6015
"G0100790","1850","Alabama","010","Lawrence","0790","Lawrence","41","790",15258,0,0,8342,64,6852
"G0100830","1850","Alabama","010","Limestone","0830","Limestone","41","830",16483,0,0,8399,21,8063
"G0100850","1850","Alabama","010","Lowndes","0850","Lowndes","41","850",21915,0,0,7258,8,14649
"G0100870","1850","Alabama","010","Macon","0870","Macon","41","870",26898,0,0,11286,16,15596
"G0100890","1850","Alabama","010","Madison","0890","Madison","41","890",26427,2863,0,11937,164,14326
"G0100910","1850","Alabama","010","Marengo","0910","Marengo","41","910",27831,0,0,7101,37,20693
"G0100930","1850","Alabama","010","Marion","0930","Marion","41","930",7833,0,0,6922,3,908
"G0100950","1850","Alabama","010","Marshall","0950","Marshall","41","950",8846,0,0,7952,26,868
"G0100970","1850","Alabama","010","Mobile","0970","Mobile","41","970",27600,20515,0,17303,941,9356
"G0100990","1850","Alabama","010","Monroe","0990","Monroe","41","990",12013,0,0,5648,40,6325
"G0101010","1850","Alabama","010","Montgomery","1010","Montgomery","41","1010",29711,8728,0,10169,115,19427
"G0101030","1850","Alabama","010","Morgan","1030","Morgan","41","1030",10125,0,0,6637,51,3437
"G0101050","1850","Alabama","010","Perry","1050","Perry","41","1050",22285,0,0,8342,26,13917
"G0101070","1850","Alabama","010","Pickens","1070","Pickens","41","1070",21512,0,0,10972,6,10534
"G0101090","1850","Alabama","010","Pike","1090","Pike","41","1090",15920,0,0,12102,24,3794
"G0101110","1850","Alabama","010","Randolph","1110","Randolph","41","1110",11581,0,0,10616,29,936
"G0101130","1850","Alabama","010","Russell","1130","Russell","41","1130",19548,0,0,8405,32,11111
"G0101150","1850","Alabama","010","St Clair","1150","St Clair","41","1150",6829,0,0,5501,7,1321
"G0101170","1850","Alabama","010","Shelby","1170","Shelby","41","1170",9536,0,0,7153,7,2376
"G0101190","1850","Alabama","010","Sumter","1190","Sumter","41","1190",22250,0,0,7369,50,14831
"G0101210","1850","Alabama","010","Talladega","1210","Talladega","41","1210",18624,0,0,11617,36,6971
"G0101230","1850","Alabama","010","Tallapoosa","1230","Tallapoosa","41","1230",15584,0,0,11511,0,4073
"G0101250","1850","Alabama","010","Tuscaloosa","1250","Tuscaloosa","41","1250",18056,0,0,10571,8,7477
"G0101270","1850","Alabama","010","Walker","1270","Walker","41","1270",5124,0,0,4857,1,266
"G0101290","1850","Alabama","010","Washington","1290","Washington","41","1290",2713,0,0,1195,22,1496
"G0101310","1850","Alabama","010","Wilcox","1310","Wilcox","41","1310",17352,0,0,5517,0,11835
"G0500010","1850","Arkansas","050","Arkansas","0010","Arkansas","42","10",3245,0,0,1694,13,1538
"G0500030","1850","Arkansas","050","Ashley","0030","Ashley","42","30",2058,0,0,1409,5,644
"G0500070","1850","Arkansas","050","Benton","0070","Benton","42","70",3710,0,0,3508,1,201
"G0500110","1850","Arkansas","050","Bradley","0110","Bradley","42","110",3829,0,0,2601,2,1226
"G0500150","1850","Arkansas","050","Carroll","0150","Carroll","42","150",4614,0,0,4391,10,213
"G0500170","1850","Arkansas","050","Chicot","0170","Chicot","42","170",5115,0,0,1122,9,3984
"G0500190","1850","Arkansas","050","Clark","0190","Clark","42","190",4070,0,0,3113,7,950
"G0500290","1850","Arkansas","050","Conway","0290","Conway","42","290",3583,0,0,3339,4,240
"G0500330","1850","Arkansas","050","Crawford","0330","Crawford","42","330",7960,0,0,6935,92,933
"G0500350","1850","Arkansas","050","Crittenden","0350","Crittenden","42","350",2648,0,0,1842,5,801
"G0500390","1850","Arkansas","050","Dallas","0390","Dallas","42","390",6877,0,0,4333,2,2542
"G0500410","1850","Arkansas","050","Desha","0410","Desha","42","410",2911,0,0,1685,57,1169
"G0500430","1850","Arkansas","050","Drew","0430","Drew","42","430",3276,0,0,2361,0,915
"G0500470","1850","Arkansas","050","Franklin","0470","Franklin","42","470",3972,0,0,3497,3,472
"G0500490","1850","Arkansas","050","Fulton","0490","Fulton","42","490",1819,0,0,1768,1,50
"G0500550","1850","Arkansas","050","Greene","0550","Greene","42","550",2593,0,0,2530,10,53
"G0500570","1850","Arkansas","050","Hempstead","0570","Hempstead","42","570",7672,0,0,5180,32,2460
"G0500590","1850","Arkansas","050","Hot Spring","0590","Hot Spring","42","590",3609,0,0,3237,11,361
"G0500630","1850","Arkansas","050","Independence","0630","Independence","42","630",7767,0,0,6927,12,828
"G0500650","1850","Arkansas","050","Izard","0650","Izard","42","650",3213,0,0,3017,0,196
"G0500670","1850","Arkansas","050","Jackson","0670","Jackson","42","670",3086,0,0,2517,6,563
"G0500690","1850","Arkansas","050","Jefferson","0690","Jefferson","42","690",5834,0,0,3197,16,2621
"G0500710","1850","Arkansas","050","Johnson","0710","Johnson","42","710",5227,0,0,4489,7,731
"G0500730","1850","Arkansas","050","Lafayette","0730","Lafayette","42","730",5220,0,0,1900,0,3320
"G0500750","1850","Arkansas","050","Lawrence","0750","Lawrence","42","750",5274,0,0,4882,4,388
"G0500870","1850","Arkansas","050","Madison","0870","Madison","42","870",4823,0,0,4659,0,164
"G0500890","1850","Arkansas","050","Marion","0890","Marion","42","890",2308,0,0,2053,129,126
"G0500930","1850","Arkansas","050","Mississippi","0930","Mississippi","42","930",2368,0,0,1496,7,865
"G0500950","1850","Arkansas","050","Monroe","0950","Monroe","42","950",2049,0,0,1651,3,395
