GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ADI001,ADI002,ADJ001,ADJ002
"G0100010","1850","Alabama","010","Autauga","0010","Autauga","41","10",108172,173604,1368113,109692
"G0100030","1850","Alabama","010","Baldwin","0030","Baldwin","41","30",6093,40254,120476,11563
"G0100050","1850","Alabama","010","Barbour","0050","Barbour","41","50",147124,229149,1962320,148027
"G0100055","1850","Alabama","010","Benton","0055","Benton","41","150",74991,131603,1301300,115600
"G0100070","1850","Alabama","010","Bibb","0070","Bibb","41","70",53411,129744,621944,56797
"G0100090","1850","Alabama","010","Blount","0090","Blount","41","90",27915,43255,240656,32112
"G0100130","1850","Alabama","010","Butler","0130","Butler","41","130",46551,102731,400170,46344
"G0100170","1850","Alabama","010","Chambers","0170","Chambers","41","170",171290,225261,2274615,169805
"G0100190","1850","Alabama","010","Cherokee","0190","Cherokee","41","190",55158,126277,1182398,81110
"G0100230","1850","Alabama","010","Choctaw","0230","Choctaw","41","230",43367,128318,649393,53754
"G0100250","1850","Alabama","010","Clarke","0250","Clarke","41","250",47927,163126,675460,69859
"G0100310","1850","Alabama","010","Coffee","0310","Coffee","41","310",24820,36433,232001,30042
"G0100350","1850","Alabama","010","Conecuh","0350","Conecuh","41","350",55076,94615,426965,55781
"G0100370","1850","Alabama","010","Coosa","0370","Coosa","41","370",67081,161822,819211,81499
"G0100390","1850","Alabama","010","Covington","0390","Covington","41","390",9201,17901,90751,18846
"G0100450","1850","Alabama","010","Dale","0450","Dale","41","450",33565,68344,291522,47540
"G0100470","1850","Alabama","010","Dallas","0470","Dallas","41","470",205616,371973,3902668,369856
"G0100490","1850","Alabama","010","DeKalb","0490","Dekalb","41","490",31972,47034,464967,30945
"G0100570","1850","Alabama","010","Fayette","0570","Fayette","41","570",46641,99789,409649,60705
"G0100590","1850","Alabama","010","Franklin","0590","Franklin","41","590",105461,296370,2196209,158408
"G0100630","1850","Alabama","010","Greene","0630","Greene","41","630",239367,287360,3705218,270481
"G0100655","1850","Alabama","010","Hancock","0655","Hancock","41","1330",6829,5258,40139,4745
"G0100670","1850","Alabama","010","Henry","0670","Henry","41","670",52919,85004,603240,74549
"G0100710","1850","Alabama","010","Jackson","0710","Jackson","41","710",73333,158696,952486,68795
"G0100730","1850","Alabama","010","Jefferson","0730","Jefferson","41","730",51921,85438,580808,55521
"G0100770","1850","Alabama","010","Lauderdale","0770","Lauderdale","41","770",98646,141602,1637935,103888
"G0100790","1850","Alabama","010","Lawrence","0790","Lawrence","41","790",125525,153286,1604406,123711
"G0100830","1850","Alabama","010","Limestone","0830","Limestone","41","830",103001,127215,1981287,143890
"G0100850","1850","Alabama","010","Lowndes","0850","Lowndes","41","850",157560,244447,1800772,160886
"G0100870","1850","Alabama","010","Macon","0870","Macon","41","870",186014,292729,2490003,169642
"G0100890","1850","Alabama","010","Madison","0890","Madison","41","890",165024,163982,3276203,153589
"G0100910","1850","Alabama","010","Marengo","0910","Marengo","41","910",174097,246556,3604083,178880
"G0100930","1850","Alabama","010","Marion","0930","Marion","41","930",30018,84149,265408,38723
"G0100950","1850","Alabama","010","Marshall","0950","Marshall","41","950",27826,34389,416170,38758
"G0100970","1850","Alabama","010","Mobile","0970","Mobile","41","970",5152,39544,495660,23530
"G0100990","1850","Alabama","010","Monroe","0990","Monroe","41","990",67188,191523,842285,77910
"G0101010","1850","Alabama","010","Montgomery","1010","Montgomery","41","1010",203045,284804,2864322,212495
"G0101030","1850","Alabama","010","Morgan","1030","Morgan","41","1030",64123,102821,893597,64174
"G0101050","1850","Alabama","010","Perry","1050","Perry","41","1050",159822,207448,2618994,199184
"G0101070","1850","Alabama","010","Pickens","1070","Pickens","41","1070",147014,235883,1778547,157453
"G0101090","1850","Alabama","010","Pike","1090","Pike","41","1090",93431,165234,963742,115611
"G0101110","1850","Alabama","010","Randolph","1110","Randolph","41","1110",41477,111572,607907,51943
"G0101130","1850","Alabama","010","Russell","1130","Russell","41","1130",148947,223857,1724187,152285
"G0101150","1850","Alabama","010","St Clair","1150","St Clair","41","1150",31841,71879,377090,44991
"G0101170","1850","Alabama","010","Shelby","1170","Shelby","41","1170",51402,107147,646448,67126
"G0101190","1850","Alabama","010","Sumter","1190","Sumter","41","1190",154785,187816,1780640,136937
"G0101210","1850","Alabama","010","Talladega","1210","Talladega","41","1210",96999,182645,1607153,113811
"G0101230","1850","Alabama","010","Tallapoosa","1230","Tallapoosa","41","1230",76207,194950,1017801,86192
"G0101250","1850","Alabama","010","Tuscaloosa","1250","Tuscaloosa","41","1250",97833,241605,1087655,136114
"G0101270","1850","Alabama","010","Walker","1270","Walker","41","1270",19831,44905,244154,25909
"G0101290","1850","Alabama","010","Washington","1290","Washington","41","1290",12001,45110,176521,15056
"G0101310","1850","Alabama","010","Wilcox","1310","Wilcox","41","1310",111004,265610,2007575,110599
"G0500010","1850","Arkansas","050","Arkansas","0010","Arkansas","42","10",12193,38416,552681,27436
"G0500030","1850","Arkansas","050","Ashley","0030","Ashley","42","30",7526,13613,148285,24196
"G0500070","1850","Arkansas","050","Benton","0070","Benton","42","70",12267,22372,214196,17596
"G0500110","1850","Arkansas","050","Bradley","0110","Bradley","42","110",15157,35237,291874,32695
"G0500150","1850","Arkansas","050","Carroll","0150","Carroll","42","150",13387,12849,178739,19929
"G0500170","1850","Arkansas","050","Chicot","0170","Chicot","42","170",29886,103362,1324607,78677
"G0500190","1850","Arkansas","050","Clark","0190","Clark","42","190",14351,33745,285063,27742
"G0500290","1850","Arkansas","050","Conway","0290","Conway","42","290",11885,33216,150252,16207
"G0500330","1850","Arkansas","050","Crawford","0330","Crawford","42","330",18273,34363,392115,33091
"G0500350","1850","Arkansas","050","Crittenden","0350","Crittenden","42","350",8475,78775,481217,24833
"G0500390","1850","Arkansas","050","Dallas","0390","Dallas","42","390",24065,64625,519871,54098
"G0500410","1850","Arkansas","050","Desha","0410","Desha","42","410",9207,33659,391697,23356
"G0500430","1850","Arkansas","050","Drew","0430","Drew","42","430",11854,23770,133637,36780
"G0500470","1850","Arkansas","050","Franklin","0470","Franklin","42","470",15502,26526,205770,27106
