GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AAA001,AAK001,AAQ001,AAQ002,AAQ003
"G0900010","1790","Connecticut","90","Fairfield","10","Fairfield","1","10",36290,0,318,799,35173
"G0900030","1790","Connecticut","90","Hartford","30","Hartford","1","30",38149,2683,395,256,37498
"G0900050","1790","Connecticut","90","Litchfield","50","Litchfield","1","50",38635,0,313,203,38119
"G0900070","1790","Connecticut","90","Middlesex","70","Middlesex","1","70",18828,0,144,192,18492
"G0900090","1790","Connecticut","90","New Haven","90","New Haven","1","90",30703,4487,434,387,29882
"G0900110","1790","Connecticut","90","New London","110","New London","1","110",32918,0,732,581,31605
"G0900130","1790","Connecticut","90","Tolland","130","Tolland","1","130",13251,0,94,46,13111
"G0900150","1790","Connecticut","90","Windham","150","Windham","1","150",28881,0,341,184,28356
"G1000010","1790","Delaware","100","Kent","10","Kent","11","10",18920,0,2570,2300,14050
"G1000030","1790","Delaware","100","New Castle","30","New Castle","11","30",19688,0,639,2562,16487
"G1000050","1790","Delaware","100","Sussex","50","Sussex","11","50",20488,0,690,4025,15773
"G1300330","1790","Georgia","130","Burke","330","Burke","44","330",9467,0,11,2392,7064
"G1300390","1790","Georgia","130","Camden","390","Camden","44","390",305,0,14,70,221
"G1300510","1790","Georgia","130","Chatham","510","Chatham","44","510",10769,0,112,8201,2456
"G1301030","1790","Georgia","130","Effingham","1030","Effingham","44","1030",2424,0,0,750,1674
"G1301190","1790","Georgia","130","Franklin","1190","Franklin","44","1190",1041,0,0,156,885
"G1301270","1790","Georgia","130","Glynn","1270","Glynn","44","1270",413,0,5,215,193
"G1301330","1790","Georgia","130","Greene","1330","Greene","44","1330",5405,0,8,1377,4020
"G1301790","1790","Georgia","130","Liberty","1790","Liberty","44","1790",5355,0,27,4025,1303
"G1302450","1790","Georgia","130","Richmond","2450","Richmond","44","2450",11317,0,39,4116,7162
"G1303030","1790","Georgia","130","Washington","3030","Washington","44","3030",4552,0,2,694,3856
"G1303170","1790","Georgia","130","Wilkes","3170","Wilkes","44","3170",31500,0,180,7268,24052
"G2400010","1790","Maryland","240","Allegany","10","Allegany","52","10",4809,0,12,258,4539
"G2400030","1790","Maryland","240","Anne Arundel","30","Anne Arundel","52","30",22598,0,804,10130,11664
"G2400050","1790","Maryland","240","Baltimore","50","Baltimore","52","50",25434,0,604,5877,18953
"G2400090","1790","Maryland","240","Calvert","90","Calvert","52","70",8652,0,136,4305,4211
"G2400110","1790","Maryland","240","Caroline","110","Caroline","52","90",9506,0,421,2057,7028
"G2400150","1790","Maryland","240","Cecil","150","Cecil","52","130",13625,0,163,3407,10055
"G2400170","1790","Maryland","240","Charles","170","Charles","52","150",20613,0,404,10085,10124
"G2400190","1790","Maryland","240","Dorchester","190","Dorchester","52","170",15875,0,528,5337,10010
"G2400210","1790","Maryland","240","Frederick","210","Frederick","52","190",30791,0,213,3641,26937
"G2400250","1790","Maryland","240","Harford","250","Harford","52","230",14976,0,775,3417,10784
"G2400290","1790","Maryland","240","Kent","290","Kent","52","270",12836,0,655,5433,6748
"G2400310","1790","Maryland","240","Montgomery","310","Montgomery","52","290",18003,0,294,6030,11679
"G2400330","1790","Maryland","240","Prince Georges","330","Prince Georges","52","310",21344,0,164,11176,10004
"G2400350","1790","Maryland","240","Queen Anne's","350","Queen Anne's","52","330",15463,0,618,6674,8171
"G2400370","1790","Maryland","240","St Mary's","370","St Mary's","52","370",15544,0,343,6985,8216
"G2400390","1790","Maryland","240","Somerset","390","Somerset","52","350",15610,0,268,7070,8272
"G2400410","1790","Maryland","240","Talbot","410","Talbot","52","390",13084,0,1076,4777,7231
"G2400430","1790","Maryland","240","Washington","430","Washington","52","410",15822,0,64,1286,14472
"G2400470","1790","Maryland","240","Worcester","470","Worcester","52","450",11640,0,178,3836,7626
"G2405100","1790","Maryland","240","Baltimore City","5100","Baltimore City","52","5100",13503,13503,323,1255,11925
"G2500010","1790","Massachusetts","250","Barnstable","10","Barnstable","3","10",17342,0,372,0,16970
"G2500030","1790","Massachusetts","250","Berkshire","30","Berkshire","3","30",30263,0,323,0,29940
"G2500050","1790","Massachusetts","250","Bristol","50","Bristol","3","50",31696,0,730,0,30966
"G2500055","1790","Massachusetts","250","Cumberland","55","Cumberland","2","50",25530,0,179,0,25351
"G2500070","1790","Massachusetts","250","Dukes","70","Dukes","3","70",3255,0,25,0,3230
"G2500090","1790","Massachusetts","250","Essex","90","Essex","3","90",57879,23736,872,0,57007
"G2500150","1790","Massachusetts","250","Hampshire","150","Hampshire","3","150",59656,0,451,0,59205
"G2500153","1790","Massachusetts","250","Hancock","153","Hancock","2","90",9542,0,38,0,9504
"G2500157","1790","Massachusetts","250","Lincoln","157","Lincoln","2","150",29733,0,141,0,29592
"G2500170","1790","Massachusetts","250","Middlesex","170","Middlesex","3","170",42769,0,592,0,42177
"G2500190","1790","Massachusetts","250","Nantucket","190","Nantucket","3","190",4555,4620,34,0,4521
"G2500230","1790","Massachusetts","250","Plymouth","230","Plymouth","3","230",29512,4526,499,0,29013
"G2500250","1790","Massachusetts","250","Suffolk","250","Suffolk","3","250",44865,18320,1062,0,43803
