GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AA1001,AA3001,AA4001,AA7001,AA7002
"G0900010","1810","Connecticut","090","Fairfield","0010","Fairfield","1","10",41050,40950,0,1185,83
"G0900030","1810","Connecticut","090","Hartford","0030","Hartford","1","30",44733,44733,3955,920,17
"G0900050","1810","Connecticut","090","Litchfield","0050","Litchfield","1","50",41375,41375,0,784,4
"G0900070","1810","Connecticut","090","Middlesex","0070","Middlesex","1","70",20723,20723,0,313,57
"G0900090","1810","Connecticut","090","New Haven","0090","New Haven","1","90",37064,37064,5772,850,51
"G0900110","1810","Connecticut","090","New London","0110","New London","1","110",34707,34707,6214,1579,77
"G0900130","1810","Connecticut","090","Tolland","0130","Tolland","1","130",13779,13779,0,220,0
"G0900150","1810","Connecticut","090","Windham","0150","Windham","1","150",28611,28611,0,602,21
"G1000010","1810","Delaware","100","Kent","0010","Kent","11","10",20495,20495,0,5616,728
"G1000030","1810","Delaware","100","New Castle","0030","New Castle","11","30",24429,24429,0,3919,1047
"G1000050","1810","Delaware","100","Sussex","0050","Sussex","11","50",27750,27750,0,3601,2402
"G1100005","1810","District Of Columbia","110","Alexandria","0005","Alexandria","98","33",7227,7227,7227,836,1488
"G1100017","1810","District Of Columbia","110","Georgetown","0017","Georgetown","98","5",4948,4948,4948,551,1162
"G1100055","1810","District Of Columbia","110","Rural Fairfax County","0055","Rural Fairfax County","98","35",1325,1325,0,141,353
"G1100075","1810","District Of Columbia","110","Rural Washington county","0075","Rural Washington county","98","7",2315,2315,0,154,955
"G1100115","1810","District Of Columbia","110","Washington City","0115","Washington City","98","3",8208,8208,8208,867,1437
"G1300090","1810","Georgia","130","Baldwin","0090","Baldwin","44","90",6356,6356,0,16,2550
"G1300290","1810","Georgia","130","Bryan","0290","Bryan","44","290",2827,2827,0,6,2264
"G1300310","1810","Georgia","130","Bulloch","0310","Bulloch","44","310",2305,2305,0,18,426
"G1300330","1810","Georgia","130","Burke","0330","Burke","44","330",10858,10858,0,76,4691
"G1300390","1810","Georgia","130","Camden","0390","Camden","44","390",3941,3941,0,47,2687
"G1300510","1810","Georgia","130","Chatham","0510","Chatham","44","510",13540,13540,5215,578,9748
"G1300590","1810","Georgia","130","Clarke","0590","Clarke","44","590",7628,7628,0,34,2594
"G1300730","1810","Georgia","130","Columbia","0730","Columbia","44","730",11242,11242,0,33,5980
"G1301030","1810","Georgia","130","Effingham","1030","Effingham","44","1030",2586,2586,0,1,1010
"G1301050","1810","Georgia","130","Elbert","1050","Elbert","44","1050",12156,12156,0,50,4574
"G1301190","1810","Georgia","130","Franklin","1190","Franklin","44","1190",10815,10815,0,16,1656
"G1301270","1810","Georgia","130","Glynn","1270","Glynn","44","1270",3417,3417,0,8,2845
"G1301330","1810","Georgia","130","Greene","1330","Greene","44","1330",11679,11679,0,45,5236
"G1301410","1810","Georgia","130","Hancock","1410","Hancock","44","1410",13330,13330,0,25,6456
"G1301570","1810","Georgia","130","Jackson","1570","Jackson","44","1510",10569,10569,0,11,1816
"G1301630","1810","Georgia","130","Jefferson","1630","Jefferson","44","1630",6111,6111,0,29,2336
"G1301690","1810","Georgia","130","Jones","1690","Jones","44","1690",8597,8597,0,439,2587
"G1301750","1810","Georgia","130","Laurens","1750","Laurens","44","1750",2210,2210,0,11,485
"G1301790","1810","Georgia","130","Liberty","1790","Liberty","44","1790",6228,6228,0,68,4808
"G1301810","1810","Georgia","130","Lincoln","1810","Lincoln","44","1810",4555,4555,0,12,2212
"G1301910","1810","Georgia","130","McIntosh","1910","Mcintosh","44","1910",3739,3739,0,21,2957
"G1302090","1810","Georgia","130","Montgomery","2090","Montgomery","44","2090",2954,2954,0,17,747
"G1302110","1810","Georgia","130","Morgan","2110","Morgan","44","2110",8369,8369,0,2,2418
"G1302210","1810","Georgia","130","Oglethorpe","2210","Oglethorpe","44","2210",12297,12297,0,5,5435
"G1302350","1810","Georgia","130","Pulaski","2350","Pulaski","44","2350",2093,2093,0,12,528
"G1302370","1810","Georgia","130","Putnam","2370","Putnam","44","2370",10029,10029,0,38,3220
"G1302435","1810","Georgia","130","Randolph (old)","2435","Randolph (old)","44","1590",7573,7573,0,9,1821
"G1302450","1810","Georgia","130","Richmond","2450","Richmond","44","2450",6189,6189,0,72,3436
"G1302510","1810","Georgia","130","Screven","2510","Screven","44","2510",4477,4477,0,4,1816
"G1302670","1810","Georgia","130","Tattnall","2670","Tattnall","44","2670",2206,2206,0,64,542
"G1302710","1810","Georgia","130","Telfair","2710","Telfair","44","2710",744,744,0,1,218
"G1302890","1810","Georgia","130","Twiggs","2890","Twiggs","44","2890",3405,3405,0,7,642
"G1302970","1810","Georgia","130","Walton","2970","Walton","44","2970",1026,1026,0,2,60
"G1303010","1810","Georgia","130","Warren","3010","Warren","44","3010",8725,8725,0,18,3048
"G1303030","1810","Georgia","130","Washington","3030","Washington","44","3030",9940,9940,0,4,3513
"G1303050","1810","Georgia","130","Wayne","3050","Wayne","44","3050",676,676,0,1,254
"G1303170","1810","Georgia","130","Wilkes","3170","Wilkes","44","3170",14887,14887,0,1,7284
"G1303190","1810","Georgia","130","Wilkinson","3190","Wilkinson","44","3190",2154,2154,0,0,318
"G1750115","1810","Illinois Territory","175","Randolph","0115","Randolph","21","1570",7275,7275,0,500,128
"G1750135","1810","Illinois Territory","175","St Clair","0135","St Clair","21","1630",5007,5007,0,113,40
"G1850035","1810","Indiana Territory","185","Clark","0035","Clark","22","190",5670,5670,0,40,81
"G1850075","1810","Indiana Territory","185","Dearborn","0075","Dearborn","22","290",7310,7310,0,92,0
"G1850095","1810","Indiana Territory","185","Harrison","0095","Harrison","22","610",3595,3595,0,12,21
"G1850115","1810","Indiana Territory","185","Knox","0115","Knox","22","830",7945,7945,0,249,135
"G2100010","1810","Kentucky","210","Adair","0010","Adair","51","10",6011,6011,0,5,956
"G2100090","1810","Kentucky","210","Barren","0090","Barren","51","90",11286,11286,0,10,1724
"G2100150","1810","Kentucky","210","Boone","0150","Boone","51","150",3608,3608,0,28,656
"G2100170","1810","Kentucky","210","Bourbon","0170","Bourbon","51","170",18009,18009,0,190,4169
"G2100230","1810","Kentucky","210","Bracken","0230","Bracken","51","230",3706,3706,0,31,358
"G2100270","1810","Kentucky","210","Breckinridge","0270","Breckinridge","51","270",3430,3430,0,6,505
"G2100290","1810","Kentucky","210","Bullitt","0290","Bullitt","51","290",4311,4311,0,14,976
"G2100310","1810","Kentucky","210","Butler","0310","Butler","51","310",2181,2181,0,8,274
"G2100330","1810","Kentucky","210","Caldwell","0330","Caldwell","51","330",4268,4268,0,4,579
"G2100370","1810","Kentucky","210","Campbell","0370","Campbell","51","370",3473,3473,0,10,472
"G2100450","1810","Kentucky","210","Casey","0450","Casey","51","450",3285,3285,0,4,242
"G2100470","1810","Kentucky","210","Christian","0470","Christian","51","470",11020,11020,0,19,1766
"G2100490","1810","Kentucky","210","Clark","0490","Clark","51","490",11519,11519,0,23,2934
"G2100510","1810","Kentucky","210","Clay","0510","Clay","51","510",2398,2398,0,0,141
"G2100570","1810","Kentucky","210","Cumberland","0570","Cumberland","51","570",6191,6191,0,3,922
"G2100650","1810","Kentucky","210","Estill","0650","Estill","51","650",2082,2082,0,1,133
"G2100670","1810","Kentucky","210","Fayette","0670","Fayette","51","670",21370,21370,4326,208,7664
"G2100690","1810","Kentucky","210","Fleming","0690","Fleming","51","690",8947,8947,0,17,549
"G2100710","1810","Kentucky","210","Floyd","0710","Floyd","51","710",3485,3485,0,0,115
"G2100730","1810","Kentucky","210","Franklin","0730","Franklin","51","730",8013,8013,0,56,2201
"G2100770","1810","Kentucky","210","Gallatin","0770","Gallatin","51","770",3307,3307,0,12,688
"G2100790","1810","Kentucky","210","Garrard","0790","Garrard","51","790",9186,9186,0,15,2083
"G2100850","1810","Kentucky","210","Grayson","0850","Grayson","51","850",2301,2301,0,0,103
"G2100870","1810","Kentucky","210","Green","0870","Green","51","870",6735,6735,0,69,1401
"G2100890","1810","Kentucky","210","Greenup","0890","Greenup","51","890",2369,2369,0,11,484
"G2100930","1810","Kentucky","210","Hardin","0930","Hardin","51","930",7531,7531,0,28,940
"G2100970","1810","Kentucky","210","Harrison","0970","Harrison","51","970",7752,7752,0,9,1105
"G2101010","1810","Kentucky","210","Henderson","1010","Henderson","51","1010",4703,4703,0,20,1514
"G2101030","1810","Kentucky","210","Henry","1030","Henry","51","1030",6777,6777,0,11,1137
"G2101070","1810","Kentucky","210","Hopkins","1070","Hopkins","51","1070",2964,2964,0,1,412
"G2101110","1810","Kentucky","210","Jefferson","1110","Jefferson","51","1110",13399,13399,0,114,4347
"G2101130","1810","Kentucky","210","Jessamine","1130","Jessamine","51","1130",8377,8377,0,36,2483
"G2101210","1810","Kentucky","210","Knox","1210","Knox","51","1210",5875,5875,0,40,307
"G2101350","1810","Kentucky","210","Lewis","1350","Lewis","51","1350",2357,2357,0,1,284
"G2101370","1810","Kentucky","210","Lincoln","1370","Lincoln","51","1370",8676,8676,0,28,2341
"G2101390","1810","Kentucky","210","Livingston","1390","Livingston","51","1390",3674,3674,0,24,718
"G2101410","1810","Kentucky","210","Logan","1410","Logan","51","1410",12123,12123,0,169,2486
"G2101510","1810","Kentucky","210","Madison","1510","Madison","51","1510",15540,15540,0,22,3037
"G2101610","1810","Kentucky","210","Mason","1610","Mason","51","1610",12459,12459,0,45,2422
"G2101670","1810","Kentucky","210","Mercer","1670","Mercer","51","1670",12630,12630,0,56,3284
"G2101730","1810","Kentucky","210","Montgomery","1730","Montgomery","51","1730",12975,12975,0,37,1767
"G2101770","1810","Kentucky","210","Muhlenberg","1770","Muhlenberg","51","1770",4181,4181,0,3,480
"G2101790","1810","Kentucky","210","Nelson","1790","Nelson","51","1790",14078,14078,0,28,3110
"G2101810","1810","Kentucky","210","Nicholas","1810","Nicholas","51","1810",4898,4898,0,21,509
"G2101830","1810","Kentucky","210","Ohio","1830","Ohio","51","1830",3792,3792,0,14,533
"G2101910","1810","Kentucky","210","Pendleton","1910","Pendleton","51","1910",3061,3061,0,1,386
"G2101990","1810","Kentucky","210","Pulaski","1990","Pulaski","51","1990",6897,6897,0,0,468
"G2102030","1810","Kentucky","210","Rockcastle","2030","Rockcastle","51","2030",1731,1731,0,0,163
"G2102090","1810","Kentucky","210","Scott","2090","Scott","51","2090",12419,12419,0,88,3732
"G2102110","1810","Kentucky","210","Shelby","2110","Shelby","51","2110",14877,14877,0,42,3114
"G2102270","1810","Kentucky","210","Warren","2270","Warren","51","2270",11937,11937,0,17,1498
"G2102290","1810","Kentucky","210","Washington","2290","Washington","51","2290",13248,13248,0,22,2245
"G2102310","1810","Kentucky","210","Wayne","2310","Wayne","51","2310",5430,5430,0,0,230
"G2102390","1810","Kentucky","210","Woodford","2390","Woodford","51","2390",9659,9659,0,92,3414
"G2250005","1810","Louisiana Territory","225","Arkansas","0005","Arkansas","34","8810",874,874,0,2,107
"G2250015","1810","Louisiana Territory","225","Cape Girardeau","0015","Cape Girardeau","34","310",3888,3888,0,8,589
"G2250035","1810","Louisiana Territory","225","New Madrid","0035","New Madrid","34","1430",2103,2103,0,5,287
"G2250055","1810","Louisiana Territory","225","St Charles","0055","St Charles","34","1830",3505,3505,0,13,271
"G2250075","1810","Louisiana Territory","225","Ste Genevieve","0075","Ste Genevieve","34","1930",4620,4620,0,459,988
"G2250095","1810","Louisiana Territory","225","St Louis","0095","St Louis","34","1890",5667,5667,0,120,740
"G2258005","1810","Louisiana Territory","225","Hopefield - St Francis","8005","Hopefield - St Francis","34","8830",188,188,0,0,29
"G2400010","1810","Maryland","240","Allegany","0010","Allegany","52","10",6909,6909,0,113,620
"G2400030","1810","Maryland","240","Anne Arundel","0030","Anne Arundel","52","30",26668,26668,0,2536,11693
"G2400050","1810","Maryland","240","Baltimore","0050","Baltimore","52","50",29255,29255,0,1537,6697
"G2400090","1810","Maryland","240","Calvert","0090","Calvert","52","70",8005,8005,0,388,3937
"G2400110","1810","Maryland","240","Caroline","0110","Caroline","52","90",9453,9453,0,1001,1520
"G2400150","1810","Maryland","240","Cecil","0150","Cecil","52","130",13066,13066,0,947,2467
"G2400170","1810","Maryland","240","Charles","0170","Charles","52","150",20245,20245,0,412,12435
"G2400190","1810","Maryland","240","Dorchester","0190","Dorchester","52","170",18108,18108,0,2661,5032
"G2400210","1810","Maryland","240","Frederick","0210","Frederick","52","190",34437,34437,0,783,5671
"G2400250","1810","Maryland","240","Harford","0250","Harford","52","230",21258,21258,0,2221,4431
"G2400290","1810","Maryland","240","Kent","0290","Kent","52","270",11450,11450,0,1979,4249
"G2400310","1810","Maryland","240","Montgomery","0310","Montgomery","52","290",17980,17980,0,677,7572
"G2400330","1810","Maryland","240","Prince Georges","0330","Prince Georges","52","310",20589,20589,0,4929,9189
"G2400350","1810","Maryland","240","Queen Anne's","0350","Queen Anne's","52","330",16648,16648,0,2738,6381
"G2400370","1810","Maryland","240","St Mary's","0370","St Mary's","52","370",12794,12794,0,636,6000
"G2400390","1810","Maryland","240","Somerset","0390","Somerset","52","350",17195,17195,0,1058,6975
"G2400410","1810","Maryland","240","Talbot","0410","Talbot","52","390",14230,14230,0,2103,4878
"G2400430","1810","Maryland","240","Washington","0430","Washington","52","410",18730,18730,0,483,2656
"G2400470","1810","Maryland","240","Worcester","0470","Worcester","52","450",16971,16971,0,1054,4427
"G2405100","1810","Maryland","240","Baltimore City","5100","Baltimore City","52","5100",46555,46555,46555,5671,4672
"G2500010","1810","Massachusetts","250","Barnstable","0010","Barnstable","3","10",22211,22211,0,236,0
"G2500030","1810","Massachusetts","250","Berkshire","0030","Berkshire","3","30",35907,35907,0,653,0
"G2500050","1810","Massachusetts","250","Bristol","0050","Bristol","3","50",37168,37168,5651,924,0
"G2500055","1810","Massachusetts","250","Cumberland","0055","Cumberland","2","50",42831,42831,7169,366,0
"G2500070","1810","Massachusetts","250","Dukes","0070","Dukes","3","70",3290,3290,0,156,0
"G2500090","1810","Massachusetts","250","Essex","0090","Essex","3","90",71888,71888,40785,860,0
"G2500150","1810","Massachusetts","250","Hampshire","0150","Hampshire","3","150",76275,76275,0,606,0
"G2500153","1810","Massachusetts","250","Hancock","0153","Hancock","2","90",30031,30031,0,91,0
"G2500155","1810","Massachusetts","250","Kennebec","0155","Kennebec","2","110",32564,32564,0,174,0
"G2500157","1810","Massachusetts","250","Lincoln","0157","Lincoln","2","150",42992,42992,0,164,0
"G2500170","1810","Massachusetts","250","Middlesex","0170","Middlesex","3","170",52789,52789,4959,374,0
"G2500190","1810","Massachusetts","250","Nantucket","0190","Nantucket","3","190",6807,6807,6807,300,0
"G2500210","1810","Massachusetts","250","Norfolk","0210","Norfolk","3","210",31245,31245,0,256,0
"G2500215","1810","Massachusetts","250","Oxford","0215","Oxford","2","170",17630,17630,0,13,0
"G2500230","1810","Massachusetts","250","Plymouth","0230","Plymouth","3","230",35169,35169,8628,420,0
"G2500235","1810","Massachusetts","250","Somerset","0235","Somerset","2","250",12910,12910,0,0,0
"G2500250","1810","Massachusetts","250","Suffolk","0250","Suffolk","3","250",34381,34381,33787,1484,0
"G2500255","1810","Massachusetts","250","Washington","0255","Washington","2","290",7870,7870,0,36,0
"G2500270","1810","Massachusetts","250","Worcester","0270","Worcester","3","270",64910,64910,0,468,0
"G2500275","1810","Massachusetts","250","York","0275","York","2","310",41877,41877,0,125,0
"G2509993","1810","Massachusetts","250","Massachusetts (ME part) [multi-county reporting area ]","9993","Massachusetts [ME part] - multi-county group","2","0",228705,228705,7169,969,0
"G2509997","1810","Massachusetts","250","Massachusetts (non-ME part) [multi-county reporting area]","9997","Massachusetts [non-ME part] - multi-county group","3","0",472040,472040,100617,6737,0
"G2650115","1810","Michigan Territory","265","Detroit District","0115","Detroit District","23","8010",2227,2227,0,96,17
"G2650135","1810","Michigan Territory","265","Erie District","0135","Erie District","23","8030",1340,1340,0,9,4
"G2650155","1810","Michigan Territory","265","Huron District","0155","Huron District","23","8050",580,580,0,0,2
"G2650235","1810","Michigan Territory","265","Michilimackinac","0235","Michilimackinac","23","8070",615,615,0,15,1
"G2850015","1810","Mississippi Territory","285","Adams","0015","Adams","46","10",10002,10002,0,76,5671
"G2850035","1810","Mississippi Territory","285","Amite","0035","Amite","46","50",4750,4750,0,16,1422
"G2850055","1810","Mississippi Territory","285","Baldwin","0055","Baldwin","46","8810",1427,1427,0,43,717
"G2850075","1810","Mississippi Territory","285","Claiborne","0075","Claiborne","46","210",3102,3102,0,12,1538
"G2850095","1810","Mississippi Territory","285","Franklin","0095","Franklin","46","370",2016,2016,0,13,735
"G2850115","1810","Mississippi Territory","285","Jefferson","0115","Jefferson","46","630",4001,4001,0,20,1792
"G2850135","1810","Mississippi Territory","285","Madison","0135","Madison","46","890",4699,4699,0,6,948
"G2850175","1810","Mississippi Territory","285","Warren","0175","Warren","46","1490",1114,1114,0,19,473
"G2850195","1810","Mississippi Territory","285","Washington","0195","Washington","46","8830",2920,2920,0,10,900
"G2850215","1810","Mississippi Territory","285","Wayne","0215","Wayne","46","1530",1253,1253,0,19,262
"G2850235","1810","Mississippi Territory","285","Wilkinson","0235","Wilkinson","46","1570",5068,5068,0,6,2630
"G3300050","1810","New Hampshire","330","Cheshire","0050","Cheshire","4","50",40988,40988,0,61,0
"G3300070","1810","New Hampshire","330","Coos","0070","Coos","4","70",3991,3991,0,20,0
"G3300090","1810","New Hampshire","330","Grafton","0090","Grafton","4","90",28462,28462,0,64,0
"G3300110","1810","New Hampshire","330","Hillsborough","0110","Hillsborough","4","110",49149,49249,0,229,0
"G3300150","1810","New Hampshire","330","Rockingham","0150","Rockingham","4","150",50175,50175,6934,510,0
"G3300170","1810","New Hampshire","330","Strafford","0170","Strafford","4","170",41595,41595,0,86,0
"G3400030","1810","New Jersey","340","Bergen","0030","Bergen","12","30",16603,16603,0,785,2180
"G3400050","1810","New Jersey","340","Burlington","0050","Burlington","12","50",24972,24979,0,946,93
"G3400090","1810","New Jersey","340","Cape May","0090","Cape May","12","90",3632,3632,0,111,81
"G3400110","1810","New Jersey","340","Cumberland","0110","Cumberland","12","110",12670,12670,0,547,42
"G3400130","1810","New Jersey","340","Essex","0130","Essex","12","130",25984,25984,2977,758,1129
"G3400150","1810","New Jersey","340","Gloucester","0150","Gloucester","12","150",19744,19744,0,886,74
"G3400190","1810","New Jersey","340","Hunterdon","0190","Hunterdon","12","190",24556,24556,3002,687,1119
"G3400230","1810","New Jersey","340","Middlesex","0230","Middlesex","12","230",20381,20381,0,665,1298
"G3400250","1810","New Jersey","340","Monmouth","0250","Monmouth","12","250",22150,22150,0,632,1504
"G3400270","1810","New Jersey","340","Morris","0270","Morris","12","270",21828,21828,0,204,856
"G3400330","1810","New Jersey","340","Salem","0330","Salem","12","330",12761,12761,0,1037,29
"G3400350","1810","New Jersey","340","Somerset","0350","Somerset","12","350",14725,14725,0,316,1968
"G3400370","1810","New Jersey","340","Sussex","0370","Sussex","12","370",25549,25549,0,269,478
"G3600010","1810","New York","360","Albany","0010","Albany","13","10",34661,34661,10762,866,772
"G3600030","1810","New York","360","Allegany","0030","Allegany","13","30",1942,1942,0,0,21
"G3600070","1810","New York","360","Broome","0070","Broome","13","70",8130,8130,0,30,23
"G3600110","1810","New York","360","Cayuga","0110","Cayuga","13","110",29843,29843,0,86,75
"G3600170","1810","New York","360","Chenango","0170","Chenango","13","170",21704,21704,0,76,13
"G3600190","1810","New York","360","Clinton","0190","Clinton","13","190",8002,8002,0,32,29
"G3600210","1810","New York","360","Columbia","0210","Columbia","13","210",32390,32390,4048,850,879
"G3600230","1810","New York","360","Cortland","0230","Cortland","13","230",8869,8869,0,2,0
"G3600250","1810","New York","360","Delaware","0250","Delaware","13","250",20303,20303,0,77,55
"G3600270","1810","New York","360","Dutchess","0270","Dutchess","13","270",51363,51363,0,1124,1262
"G3600310","1810","New York","360","Essex","0310","Essex","13","310",9477,9477,0,3,0
"G3600330","1810","New York","360","Franklin","0330","Franklin","13","330",2617,2617,0,0,3
"G3600370","1810","New York","360","Genesee","0370","Genesee","13","370",12588,12588,0,14,11
"G3600390","1810","New York","360","Greene","0390","Greene","13","390",19536,19536,0,371,367
"G3600430","1810","New York","360","Herkimer","0430","Herkimer","13","430",22046,22046,0,77,64
"G3600450","1810","New York","360","Jefferson","0450","Jefferson","13","450",15140,15140,0,40,0
"G3600470","1810","New York","360","Kings","0470","Kings","13","470",8303,8303,4402,735,1118
"G3600490","1810","New York","360","Lewis","0490","Lewis","13","490",6433,6433,0,25,4
"G3600530","1810","New York","360","Madison","0530","Madison","13","530",25144,25144,0,177,35
"G3600570","1810","New York","360","Montgomery","0570","Montgomery","13","570",41214,41214,0,365,712
"G3600610","1810","New York","360","New York","0610","New York","13","610",96373,96373,96373,8137,1686
"G3600630","1810","New York","360","Niagara","0630","Niagara","13","630",8971,8971,0,31,8
"G3600650","1810","New York","360","Oneida","0650","Oneida","13","650",33792,33792,0,130,81
"G3600670","1810","New York","360","Onondaga","0670","Onondaga","13","670",25987,25987,0,114,50
"G3600690","1810","New York","360","Ontario","0690","Ontario","13","690",42032,42032,0,299,212
"G3600710","1810","New York","360","Orange","0710","Orange","13","710",34347,34347,0,927,966
"G3600770","1810","New York","360","Otsego","0770","Otsego","13","770",38802,38802,0,133,74
"G3600810","1810","New York","360","Queens","0810","Queens","13","810",19336,19336,0,2354,809
"G3600830","1810","New York","360","Rensselaer","0830","Rensselaer","13","830",36309,36309,0,362,750
"G3600850","1810","New York","360","Richmond","0850","Richmond","13","850",5347,5347,0,274,437
"G3600870","1810","New York","360","Rockland","0870","Rockland","13","870",7758,7758,0,292,316
"G3600890","1810","New York","360","St Lawrence","0890","St Lawrence","13","890",7885,7885,0,17,5
"G3600910","1810","New York","360","Saratoga","0910","Saratoga","13","910",33147,33147,0,565,107
"G3600930","1810","New York","360","Schenectady","0930","Schenectady","13","930",10201,10201,5903,188,318
"G3600950","1810","New York","360","Schoharie","0950","Schoharie","13","950",18945,18945,0,235,316
"G3600990","1810","New York","360","Seneca","0990","Seneca","13","990",16609,16609,0,44,101
"G3601010","1810","New York","360","Steuben","1010","Steuben","13","1010",7246,7246,0,29,87
"G3601030","1810","New York","360","Suffolk","1030","Suffolk","13","1030",21113,21113,0,1373,413
"G3601050","1810","New York","360","Sullivan","1050","Sullivan","13","1050",6108,6108,0,11,43
"G3601070","1810","New York","360","Tioga","1070","Tioga","13","1070",7899,7899,0,39,61
"G3601110","1810","New York","360","Ulster","1110","Ulster","13","1110",26576,26576,0,1066,1437
"G3601150","1810","New York","360","Washington","1150","Washington","13","1150",44289,44289,0,2815,315
"G3601190","1810","New York","360","Westchester","1190","Westchester","13","1190",30272,30272,0,948,982
"G3700070","1810","North Carolina","370","Anson","0070","Anson","47","70",8831,8831,0,88,2325
"G3700090","1810","North Carolina","370","Ashe","0090","Ashe","47","90",3694,3694,0,6,147
"G3700130","1810","North Carolina","370","Beaufort","0130","Beaufort","47","130",7203,7203,0,266,2568
"G3700150","1810","North Carolina","370","Bertie","0150","Bertie","47","150",11218,11218,0,214,6059
"G3700170","1810","North Carolina","370","Bladen","0170","Bladen","47","170",5671,5671,0,114,1985
"G3700190","1810","North Carolina","370","Brunswick","0190","Brunswick","47","190",4778,4778,0,210,2254
"G3700210","1810","North Carolina","370","Buncombe","0210","Buncombe","47","210",9277,9277,0,18,695
"G3700230","1810","North Carolina","370","Burke","0230","Burke","47","230",11007,11007,0,60,1433
"G3700250","1810","North Carolina","370","Cabarrus","0250","Cabarrus","47","250",6158,6158,0,3,1234
"G3700290","1810","North Carolina","370","Camden","0290","Camden","47","290",5347,5347,0,48,1411
"G3700310","1810","North Carolina","370","Carteret","0310","Carteret","47","310",4823,4823,0,106,1172
"G3700330","1810","North Carolina","370","Caswell","0330","Caswell","47","330",11757,11757,0,90,4299
"G3700370","1810","North Carolina","370","Chatham","0370","Chatham","47","370",12977,12977,0,242,3635
"G3700410","1810","North Carolina","370","Chowan","0410","Chowan","47","410",5297,5297,0,99,2789
"G3700470","1810","North Carolina","370","Columbus","0470","Columbus","47","470",3022,3022,0,27,703
"G3700490","1810","North Carolina","370","Craven","0490","Craven","47","490",12676,12676,0,1125,5050
"G3700510","1810","North Carolina","370","Cumberland","0510","Cumberland","47","510",9382,9382,0,95,2796
"G3700530","1810","North Carolina","370","Currituck","0530","Currituck","47","530",6985,6985,0,120,1631
"G3700610","1810","North Carolina","370","Duplin","0610","Duplin","47","610",7863,7863,0,29,2416
"G3700650","1810","North Carolina","370","Edgecombe","0650","Edgecombe","47","650",12423,12423,0,237,5107
"G3700690","1810","North Carolina","370","Franklin","0690","Franklin","47","690",10166,10166,0,171,5330
"G3700730","1810","North Carolina","370","Gates","0730","Gates","47","730",5965,5965,0,113,2790
"G3700770","1810","North Carolina","370","Granville","0770","Granville","47","770",15576,15576,0,467,7746
"G3700790","1810","North Carolina","370","Greene","0790","Greene","47","790",4867,4867,0,55,1842
"G3700810","1810","North Carolina","370","Guilford","0810","Guilford","47","810",11420,11420,0,103,1467
"G3700830","1810","North Carolina","370","Halifax","0830","Halifax","47","830",13620,13620,0,1236,6624
"G3700870","1810","North Carolina","370","Haywood","0870","Haywood","47","870",2780,2780,0,7,171
