GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ABA001,ABE001,ABB001,ABB002,ABB003,ABB004,ABB005,ABB006
"G0100010","1820","Alabama","010","Autauga","0010","Autauga","41","10",3853,0,1183,1020,856,791,2,1
"G0100030","1820","Alabama","010","Baldwin","0030","Baldwin","41","30",1713,0,359,292,516,485,32,29
"G0100090","1820","Alabama","010","Blount","0090","Blount","41","90",2415,0,1151,1088,77,98,0,1
"G0100130","1820","Alabama","010","Butler","0130","Butler","41","130",1405,0,451,384,278,291,1,0
"G0100135","1820","Alabama","010","Cahawba","0135","Cahawba","41","70",3676,0,1551,1379,373,373,0,0
"G0100250","1820","Alabama","010","Clarke","0250","Clarke","41","250",5839,0,2030,1748,1006,1029,18,8
"G0100350","1820","Alabama","010","Conecuh","0350","Conecuh","41","350",5713,0,2021,1748,971,960,8,5
"G0100375","1820","Alabama","010","Cotaco","0375","Cotaco","41","1030",5263,0,2243,2151,432,426,6,5
"G0100470","1820","Alabama","010","Dallas","0470","Dallas","41","470",6003,0,1851,1473,1398,1279,1,1
"G0100590","1820","Alabama","010","Franklin","0590","Franklin","41","590",4988,0,1818,1490,843,824,10,3
"G0100630","1820","Alabama","010","Greene","0630","Greene","41","630",4554,0,1543,1318,834,857,1,1
"G0100670","1820","Alabama","010","Henry","0670","Henry","41","670",2638,0,1133,878,326,300,1,0
"G0100710","1820","Alabama","010","Jackson","0710","Jackson","41","710",8751,0,4220,3909,271,268,49,34
"G0100770","1820","Alabama","010","Lauderdale","0770","Lauderdale","41","770",4963,0,1856,1700,828,550,14,15
"G0100790","1820","Alabama","010","Lawrence","0790","Lawrence","41","790",8652,0,3032,2639,1514,1427,25,15
"G0100830","1820","Alabama","010","Limestone","0830","Limestone","41","830",9871,0,3630,3292,1512,1407,26,4
"G0100890","1820","Alabama","010","Madison","0890","Madison","41","890",17481,0,4805,4008,4585,4037,28,18
"G0100910","1820","Alabama","010","Marengo","0910","Marengo","41","910",2933,0,1117,935,450,416,8,7
"G0100970","1820","Alabama","010","Mobile","0970","Mobile","41","970",2672,0,1105,548,449,387,83,100
"G0100990","1820","Alabama","010","Monroe","0990","Monroe","41","990",8838,0,2694,2320,1942,1852,16,14
"G0101010","1820","Alabama","010","Montgomery","1010","Montgomery","41","1010",6604,0,2094,1847,1417,1238,6,2
"G0101050","1820","Alabama","010","Perry","1050","Perry","41","1050",3646,0,1429,1225,511,477,3,1
"G0101150","1820","Alabama","010","St Clair","1150","St Clair","41","1150",4166,0,1920,1687,277,276,4,2
"G0101170","1820","Alabama","010","Shelby","1170","Shelby","41","1170",2416,0,1063,948,203,202,0,0
"G0101250","1820","Alabama","010","Tuscaloosa","1250","Tuscaloosa","41","1250",8229,0,3101,2793,1176,1159,0,0
"G0101290","1820","Alabama","010","Washington","1290","Washington","41","1290",4118,0,1450,1019,912,719,11,7
"G0101310","1820","Alabama","010","Wilcox","1310","Wilcox","41","1310",2917,0,900,656,760,594,4,3
"G0550015","1820","Arkansas Territory","055","Arkansas","0015","Arkansas","42","10",1260,0,642,434,86,92,5,1
"G0550055","1820","Arkansas Territory","055","Clark","0055","Clark","42","190",1040,0,522,448,37,33,0,0
"G0550135","1820","Arkansas Territory","055","Hempstead","0135","Hempstead","42","570",2248,0,925,828,247,234,12,0
"G0550275","1820","Arkansas Territory","055","Lawrence","0275","Lawrence","42","750",5602,0,2747,2326,257,233,17,12
"G0550295","1820","Arkansas Territory","055","Miller","0295","Miller","42","895",999,0,518,399,40,42,0,0
"G0550335","1820","Arkansas Territory","055","Phillips","0335","Phillips","42","1070",1201,0,603,449,71,74,0,0
"G0550375","1820","Arkansas Territory","055","Pulaski","0375","Pulaski","42","1190",1923,0,1014,724,82,89,10,2
"G0900010","1820","Connecticut","090","Fairfield","0010","Fairfield","1","10",42739,0,20502,20851,10,17,677,677
