GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ABN001,ABU001,ABO001,ABO002,ABO003,ABO004,ABO005,ABO006
"G0100010","1830","Alabama","010","Autauga","0010","Autauga","41","10",11874,0,3208,2659,3043,2947,12,5
"G0100030","1830","Alabama","010","Baldwin","0030","Baldwin","41","30",2324,0,588,377,656,607,47,49
"G0100070","1830","Alabama","010","Bibb","0070","Bibb","41","70",6306,0,2690,2423,550,642,1,0
"G0100090","1830","Alabama","010","Blount","0090","Blount","41","90",4233,0,1967,1915,159,171,13,8
"G0100130","1830","Alabama","010","Butler","0130","Butler","41","130",5650,0,2017,1887,852,887,6,1
"G0100250","1830","Alabama","010","Clarke","0250","Clarke","41","250",7595,0,2045,1849,1824,1848,15,14
"G0100350","1830","Alabama","010","Conecuh","0350","Conecuh","41","350",7444,0,2033,1779,1835,1783,6,8
"G0100390","1830","Alabama","010","Covington","0390","Covington","41","390",1522,0,612,506,189,207,2,6
"G0100450","1830","Alabama","010","Dale","0450","Dale","41","450",2031,0,939,818,129,140,2,3
"G0100470","1830","Alabama","010","Dallas","0470","Dallas","41","470",14017,0,3636,3158,3624,3536,31,32
"G0100570","1830","Alabama","010","Fayette","0570","Fayette","41","570",3547,0,1604,1431,238,274,0,0
"G0100590","1830","Alabama","010","Franklin","0590","Franklin","41","590",11078,0,3180,2889,2562,2426,12,9
"G0100630","1830","Alabama","010","Greene","0630","Greene","41","630",15026,0,4059,3526,3713,3707,13,8
"G0100670","1830","Alabama","010","Henry","0670","Henry","41","670",4020,0,1581,1424,493,516,4,2
"G0100710","1830","Alabama","010","Jackson","0710","Jackson","41","710",12700,0,5905,5513,599,665,9,9
"G0100730","1830","Alabama","010","Jefferson","0730","Jefferson","41","730",6855,0,2653,2468,857,858,16,3
"G0100770","1830","Alabama","010","Lauderdale","0770","Lauderdale","41","770",11781,0,4239,3721,2018,1777,14,12
"G0100790","1830","Alabama","010","Lawrence","0790","Lawrence","41","790",14984,0,4427,3934,3341,3215,32,35
