GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ACD001,ACN001,ACZ001,ACZ002,ACZ003,ACZ004,ACZ005,ACZ006,ACZ007,ACZ008,ACZ009,ACZ010,ACZ011,ACZ012,ACZ013,ACZ014,ACZ015,ACZ016,ACZ017,ACZ018,ACZ019,ACZ020,ACZ021,ACZ022,ACZ023,ACZ024
"G0100010","1840","Alabama","010","Autauga","0010","Autauga","41","10",14342,0,0,5,2,3,0,0,1,1,2,1,1,0,1372,1296,852,397,106,0,1447,1306,882,360,91,0
"G0100030","1840","Alabama","010","Baldwin","0030","Baldwin","41","30",2951,0,20,19,8,1,2,0,9,11,6,7,0,0,288,248,236,126,32,0,280,240,153,77,27,0
"G0100050","1840","Alabama","010","Barbour","0050","Barbour","41","50",12024,0,2,0,1,1,0,0,2,1,0,0,0,0,929,927,573,212,63,2,1036,930,572,229,72,3
"G0100055","1840","Alabama","010","Benton","0055","Benton","41","150",14260,0,2,1,0,2,0,0,0,0,0,1,0,0,555,487,236,107,28,0,551,535,252,113,30,0
"G0100070","1840","Alabama","010","Bibb","0070","Bibb","41","70",8284,0,1,0,0,0,1,0,1,0,1,0,1,0,406,339,150,74,22,0,406,346,189,77,14,0
"G0100090","1840","Alabama","010","Blount","0090","Blount","41","90",5570,0,1,0,0,0,0,0,0,0,0,0,0,0,69,43,17,18,5,0,64,70,39,15,3,1
"G0100130","1840","Alabama","010","Butler","0130","Butler","41","130",8685,0,2,6,0,1,4,0,2,5,0,2,1,0,487,347,214,111,41,1,436,428,233,133,38,1
"G0100170","1840","Alabama","010","Chambers","0170","Chambers","41","170",17333,0,0,2,1,1,0,0,0,0,0,0,0,0,1397,1206,607,281,66,0,1336,1236,649,298,65,0
"G0100190","1840","Alabama","010","Cherokee","0190","Cherokee","41","190",8773,0,0,2,0,0,0,0,0,5,1,1,0,0,211,175,70,36,17,3,227,209,102,36,25,1
"G0100250","1840","Alabama","010","Clarke","0250","Clarke","41","250",8640,0,3,2,0,3,4,0,0,0,1,1,3,0,754,678,438,288,87,2,749,645,445,218,90,1
"G0100350","1840","Alabama","010","Conecuh","0350","Conecuh","41","350",8197,0,0,0,1,0,2,0,0,0,0,0,1,0,703,660,327,150,66,0,713,582,396,171,48,1
"G0100370","1840","Alabama","010","Coosa","0370","Coosa","41","370",6995,0,1,3,0,2,1,0,2,2,1,0,0,0,341,353,230,107,14,0,355,383,220,102,20,0
"G0100390","1840","Alabama","010","Covington","0390","Covington","41","390",2435,0,2,0,1,0,0,0,1,2,2,0,1,0,81,65,27,17,8,0,65,53,35,18,2,0
"G0100450","1840","Alabama","010","Dale","0450","Dale","41","450",7397,0,0,2,1,0,1,0,1,1,1,0,1,0,99,88,35,30,14,0,120,108,44,28,14,0
"G0100470","1840","Alabama","010","Dallas","0470","Dallas","41","470",25199,0,5,5,10,10,6,1,8,13,4,4,2,1,2902,2694,1890,871,231,2,2863,2786,1948,833,187,1
"G0100490","1840","Alabama","010","DeKalb","0490","Dekalb","41","490",5929,0,0,0,0,0,0,0,0,0,0,0,0,0,71,59,22,12,2,1,67,59,28,14,4,1
"G0100570","1840","Alabama","010","Fayette","0570","Fayette","41","570",6942,0,0,0,0,0,0,0,0,0,0,0,0,0,222,158,53,39,11,0,161,173,101,48,15,0
"G0100590","1840","Alabama","010","Franklin","0590","Franklin","41","590",14270,0,3,2,5,5,3,0,4,1,2,2,1,1,1074,936,594,320,85,8,1041,978,600,289,78,2
"G0100630","1840","Alabama","010","Greene","0630","Greene","41","630",24024,0,6,3,4,6,3,0,3,7,3,0,2,0,2664,2888,1808,953,210,0,2648,2647,1716,728,166,3
"G0100670","1840","Alabama","010","Henry","0670","Henry","41","670",5787,0,0,1,0,0,0,0,0,0,1,0,0,0,213,156,94,52,22,0,202,150,130,49,16,0
"G0100710","1840","Alabama","010","Jackson","0710","Jackson","41","710",15715,0,3,7,2,3,2,0,3,8,5,2,1,0,360,286,128,69,22,0,332,336,166,90,26,1
"G0100730","1840","Alabama","010","Jefferson","0730","Jefferson","41","730",7131,0,1,0,0,1,2,0,2,0,0,1,2,0,280,271,132,65,28,0,302,315,143,73,27,0
"G0100770","1840","Alabama","010","Lauderdale","0770","Lauderdale","41","770",14485,0,14,5,5,10,4,0,4,9,7,7,4,0,887,764,460,296,89,2,891,758,514,250,58,0
"G0100790","1840","Alabama","010","Lawrence","0790","Lawrence","41","790",13313,0,6,1,0,0,1,1,8,6,2,0,0,0,1070,936,623,314,86,4,1151,940,669,270,77,5
"G0100830","1840","Alabama","010","Limestone","0830","Limestone","41","830",14374,0,5,5,1,3,6,0,6,3,3,3,1,0,1245,1101,631,385,104,0,1171,1032,716,345,109,1
"G0100850","1840","Alabama","010","Lowndes","0850","Lowndes","41","850",19539,0,1,6,2,0,0,0,2,2,0,1,0,0,2083,2041,1303,642,180,2,2148,2113,1338,597,122,0
"G0100870","1840","Alabama","010","Macon","0870","Macon","41","870",11247,0,4,2,3,0,2,0,5,4,4,0,2,1,1052,951,572,279,63,1,1032,993,594,260,53,1
"G0100890","1840","Alabama","010","Madison","0890","Madison","41","890",25706,0,15,22,14,14,9,0,18,17,16,5,13,1,2298,2096,1350,695,274,0,2310,2007,1292,709,232,2
"G0100910","1840","Alabama","010","Marengo","0910","Marengo","41","910",17264,0,0,2,4,4,0,0,1,0,1,0,0,0,1827,2021,1402,682,207,2,1833,1855,1362,583,124,4
"G0100930","1840","Alabama","010","Marion","0930","Marion","41","930",5847,0,0,0,0,0,0,0,0,0,0,0,0,0,126,140,78,23,3,1,157,131,60,29,5,0
