GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AGP001,AGP002,AGV001,AGV002
"G0100010","1860","Alabama","010","Autauga","0010","Autauga","41","10",131733,307385,2901285,125234
"G0100030","1860","Alabama","010","Baldwin","0030","Baldwin","41","30",10141,73045,468090,20495
"G0100050","1860","Alabama","010","Barbour","0050","Barbour","41","50",209150,324653,4960812,181321
"G0100070","1860","Alabama","010","Bibb","0070","Bibb","41","70",74705,230542,1442455,112325
"G0100090","1860","Alabama","010","Blount","0090","Blount","41","90",40943,152087,832500,54835
"G0100130","1860","Alabama","010","Butler","0130","Butler","41","130",99959,306628,2950744,101432
"G0100150","1860","Alabama","010","Calhoun","0150","Calhoun","41","150",125306,246619,2709394,150088
"G0100170","1860","Alabama","010","Chambers","0170","Chambers","41","170",226163,206279,3035933,216501
"G0100190","1860","Alabama","010","Cherokee","0190","Cherokee","41","190",106919,218234,2979265,166508
"G0100230","1860","Alabama","010","Choctaw","0230","Choctaw","41","230",92272,258903,2746506,112246
"G0100250","1860","Alabama","010","Clarke","0250","Clarke","41","250",99429,446169,3255548,143281
"G0100310","1860","Alabama","010","Coffee","0310","Coffee","41","310",56612,213181,1004062,41228
"G0100350","1860","Alabama","010","Conecuh","0350","Conecuh","41","350",73845,173682,1045700,73492
"G0100370","1860","Alabama","010","Coosa","0370","Coosa","41","370",123231,316376,1672376,146061
"G0100390","1860","Alabama","010","Covington","0390","Covington","41","390",29275,142651,538155,39266
"G0100450","1860","Alabama","010","Dale","0450","Dale","41","450",76726,273651,1431122,83868
"G0100470","1860","Alabama","010","Dallas","0470","Dallas","41","470",261130,286343,9311714,245541
"G0100490","1860","Alabama","010","DeKalb","0490","Dekalb","41","490",56218,99314,1100609,74053
"G0100570","1860","Alabama","010","Fayette","0570","Fayette","41","570",56768,328739,739641,96246
"G0100590","1860","Alabama","010","Franklin","0590","Franklin","41","590",133575,280543,4096733,140228
"G0100630","1860","Alabama","010","Greene","0630","Greene","41","630",277462,282682,9176802,259471
"G0100670","1860","Alabama","010","Henry","0670","Henry","41","670",101993,266582,2154860,99118
"G0100710","1860","Alabama","010","Jackson","0710","Jackson","41","710",104860,228582,3121085,98255
"G0100730","1860","Alabama","010","Jefferson","0730","Jefferson","41","730",75121,216547,1219865,95261
"G0100770","1860","Alabama","010","Lauderdale","0770","Lauderdale","41","770",139446,287234,4554063,154512
"G0100790","1860","Alabama","010","Lawrence","0790","Lawrence","41","790",142726,201467,2996285,91730
"G0100830","1860","Alabama","010","Limestone","0830","Limestone","41","830",120047,147139,3592495,114529
"G0100850","1860","Alabama","010","Lowndes","0850","Lowndes","41","850",239667,273238,9040470,405489
