GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AG3001,AHF001,AH3001,AH3002,AH3003,AH3004,AH3005,AH3006
"G0100010","1860","Alabama","010","Autauga","0010","Autauga","41","10",16739,0,7105,14,9607,13,,
"G0100030","1860","Alabama","010","Baldwin","0030","Baldwin","41","30",7530,0,3585,140,3714,91,,
"G0100050","1860","Alabama","010","Barbour","0050","Barbour","41","50",30812,0,14629,33,16150,0,,
"G0100070","1860","Alabama","010","Bibb","0070","Bibb","41","70",11894,0,8027,25,3842,0,,
"G0100090","1860","Alabama","010","Blount","0090","Blount","41","90",10865,0,10193,6,666,0,,
"G0100130","1860","Alabama","010","Butler","0130","Butler","41","130",18122,0,11260,44,6818,0,,
"G0100150","1860","Alabama","010","Calhoun","0150","Calhoun","41","150",21539,0,17169,28,4342,0,,
"G0100170","1860","Alabama","010","Chambers","0170","Chambers","41","170",23214,0,11315,50,11849,0,,
"G0100190","1860","Alabama","010","Cherokee","0190","Cherokee","41","190",18360,0,15321,37,3002,0,,
"G0100230","1860","Alabama","010","Choctaw","0230","Choctaw","41","230",13877,0,6767,16,7094,0,,
"G0100250","1860","Alabama","010","Clarke","0250","Clarke","41","250",15049,0,7599,14,7436,0,,
"G0100310","1860","Alabama","010","Coffee","0310","Coffee","41","310",9623,0,8200,6,1417,0,,
"G0100350","1860","Alabama","010","Conecuh","0350","Conecuh","41","350",11311,0,6419,10,4882,0,,
"G0100370","1860","Alabama","010","Coosa","0370","Coosa","41","370",19273,0,14044,11,5212,6,,
"G0100390","1860","Alabama","010","Covington","0390","Covington","41","390",6469,0,5631,17,821,0,,
"G0100450","1860","Alabama","010","Dale","0450","Dale","41","450",12197,0,10379,7,1809,2,,
"G0100470","1860","Alabama","010","Dallas","0470","Dallas","41","470",33625,3177,7785,80,25760,0,,
"G0100490","1860","Alabama","010","DeKalb","0490","Dekalb","41","490",10705,0,9853,4,848,0,,
"G0100570","1860","Alabama","010","Fayette","0570","Fayette","41","570",12850,0,11145,2,1703,0,,
"G0100590","1860","Alabama","010","Franklin","0590","Franklin","41","590",18627,0,10119,13,8495,0,,
"G0100630","1860","Alabama","010","Greene","0630","Greene","41","630",30859,0,7251,10,23598,0,,
"G0100670","1860","Alabama","010","Henry","0670","Henry","41","670",14918,0,10464,21,4433,0,,
"G0100710","1860","Alabama","010","Jackson","0710","Jackson","41","710",18283,0,14811,67,3405,0,,
"G0100730","1860","Alabama","010","Jefferson","0730","Jefferson","41","730",11746,0,9078,19,2649,0,,
"G0100770","1860","Alabama","010","Lauderdale","0770","Lauderdale","41","770",17420,0,10639,44,6737,0,,
"G0100790","1860","Alabama","010","Lawrence","0790","Lawrence","41","790",13975,0,7173,14,6788,0,,
"G0100830","1860","Alabama","010","Limestone","0830","Limestone","41","830",15306,0,7215,6,8085,0,,
"G0100850","1860","Alabama","010","Lowndes","0850","Lowndes","41","850",27716,0,8362,14,19340,0,,
"G0100870","1860","Alabama","010","Macon","0870","Macon","41","870",26802,0,8624,1,18176,1,,
"G0100890","1860","Alabama","010","Madison","0890","Madison","41","890",26451,3634,11685,192,14573,1,,
"G0100910","1860","Alabama","010","Marengo","0910","Marengo","41","910",31171,0,6761,1,24409,0,,
"G0100930","1860","Alabama","010","Marion","0930","Marion","41","930",11182,0,9893,5,1283,1,,
"G0100950","1860","Alabama","010","Marshall","0950","Marshall","41","950",11472,0,9596,51,1821,4,,
"G0100970","1860","Alabama","010","Mobile","0970","Mobile","41","970",41131,29258,28559,1195,11376,1,,
"G0100990","1860","Alabama","010","Monroe","0990","Monroe","41","990",15667,0,6878,46,8705,38,,
"G0101010","1860","Alabama","010","Montgomery","1010","Montgomery","41","1010",35904,8843,12122,70,23710,2,,
"G0101030","1860","Alabama","010","Morgan","1030","Morgan","41","1030",11335,0,7592,37,3706,0,,
"G0101050","1860","Alabama","010","Perry","1050","Perry","41","1050",27724,0,9479,39,18206,0,,
"G0101070","1860","Alabama","010","Pickens","1070","Pickens","41","1070",22316,0,10117,8,12191,0,,
"G0101090","1860","Alabama","010","Pike","1090","Pike","41","1090",24435,0,15646,4,8785,0,,
"G0101110","1860","Alabama","010","Randolph","1110","Randolph","41","1110",20059,0,18132,23,1904,0,,
"G0101130","1860","Alabama","010","Russell","1130","Russell","41","1130",26592,0,10936,18,15638,0,,
"G0101150","1860","Alabama","010","St Clair","1150","St Clair","41","1150",11013,0,9236,9,1768,0,,
"G0101170","1860","Alabama","010","Shelby","1170","Shelby","41","1170",12618,0,8970,26,3622,0,,
"G0101190","1860","Alabama","010","Sumter","1190","Sumter","41","1190",24035,0,5919,25,18091,0,,
"G0101210","1860","Alabama","010","Talladega","1210","Talladega","41","1210",23520,0,14634,21,8865,0,,
"G0101230","1860","Alabama","010","Tallapoosa","1230","Tallapoosa","41","1230",23827,0,17154,1,6672,0,,
"G0101250","1860","Alabama","010","Tuscaloosa","1250","Tuscaloosa","41","1250",23200,3989,12971,84,10145,0,,
"G0101270","1860","Alabama","010","Walker","1270","Walker","41","1270",7980,0,7461,0,519,0,,
"G0101290","1860","Alabama","010","Washington","1290","Washington","41","1290",4669,0,2119,56,2494,0,,
"G0101310","1860","Alabama","010","Wilcox","1310","Wilcox","41","1310",24618,0,6795,26,17797,0,,
"G0101330","1860","Alabama","010","Winston","1330","Winston","41","1330",3576,0,3454,0,122,0,,
"G0500010","1860","Arkansas","050","Arkansas","0010","Arkansas","42","10",8844,0,3923,0,4921,0,,
"G0500030","1860","Arkansas","050","Ashley","0030","Ashley","42","30",8590,0,4829,0,3761,0,,
"G0500070","1860","Arkansas","050","Benton","0070","Benton","42","70",9306,0,8905,1,384,16,,
"G0500110","1860","Arkansas","050","Bradley","0110","Bradley","42","110",8388,0,5698,0,2690,0,,
"G0500130","1860","Arkansas","050","Calhoun","0130","Calhoun","42","130",4103,0,3122,0,981,0,,
"G0500150","1860","Arkansas","050","Carroll","0150","Carroll","42","150",9383,0,9053,0,330,0,,
"G0500170","1860","Arkansas","050","Chicot","0170","Chicot","42","170",9234,0,1722,0,7512,0,,
