year,NHGISNAM,NHGISST,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,state,ICPSRSTI,ICPSRCTYI,ICPSRFIP,STATE,COUNTY,PID,longitude,latitude,GISJOIN,GISJOIN2,area,SHAPE_LEN,border,longitude_miles,distance,distance_1820,census_pop,urban_census_pop,rural_census_pop,enslaved,slavery_legal,area_sq_miles,ruralpopden,urbanpopden
1830,Oldham,210,1850,51,1850,OLDHAM,Kentucky,51,1850,0,210,1850,631,912424.36820392,156953.33588737,G2101850,2101850,716202769.159,142939.568874,1,566.954217497266,-4.0733514404173725,-4.0733514404173725,9588,0,9588,2605,1,276.527435126367,34.672870688647926,0
1830,Lincoln,370,1090,47,1090,LINCOLN,North Carolina,47,1090,0,370,1090,697,1322696.98962842,-125352.16327492,G3701090,3701090,3266767201.29,266194.170856,0,821.8858054141439,-215.9758770636419,-215.9758770636419,22455,0,22455,4882,1,1261.3058678737336,17.802977510803046,0
1830,Sumter,450,0850,48,850,SUMTER,South Carolina,48,850,0,450,0850,376,1437610.7055876,-289173.7568917,G4500850,4500850,4483852950.02,381826.57074,0,893.2898781041218,-339.0534510046072,-339.0534510046072,28277,0,28277,18721,1,1731.2253025896357,16.33351820684583,0
1830,Windsor,500,0270,6,270,WINDSOR,Vermont,6,270,0,500,0270,946,1864239.8080952,911064.33167973,G5000270,5000270,2488091013.58,281076.425218,0,1158.3849121724131,299.813443793191,299.813443793191,40625,0,40625,0,0,960.6573109932998,42.28875326831645,0
1830,Amelia,510,0070,40,70,AMELIA,Virginia,40,70,0,510,0070,949,1572404.54023636,131177.53978246,G5100070,5100070,928624009.631,175698.410806,0,977.0468838460639,-166.19615024867113,-166.19615024867113,11036,0,11036,7523,1,358.5437345928701,30.78006651693826,0
1830,Thomas,130,2750,44,2750,THOMAS,Georgia,44,2750,0,130,2750,68,1149274.80730643,-656982.09449069,G1302750,1302750,3323713757.49,268084.192556,0,714.1262572243287,-497.0738287452102,-497.0738287452102,3299,0,3299,1168,1,1283.2930561441121,2.570730032555811,0
1830,Norfolk,250,0210,3,210,NORFOLK,Massachusetts,3,210,0,250,0210,326,2011838.61452718,787032.21903237,G2500210,2500210,1140294896.92,258137.790697,0,1250.09855849786,273.6172960198317,273.6172960198317,41972,9321,32651,0,0,440.2703210757478,74.161256021576,21.17108411310863
1830,Gibson,180,0510,22,510,GIBSON,Indiana,22,510,0,180,0510,437,727938.41041367,123241.27138958,G1800510,1800510,1292543718.84,234703.959057,0,452.3199579540918,23.387981141452737,23.387981141452737,5418,0,5418,0,0,499.05391985460415,10.85654231826993,0
1830,Lorain,390,0930,24,930,LORAIN,Ohio,24,930,0,390,0930,761,1146906.95559924,504624.56949515,G3900930,3900930,1519421307.53,188406.552405,0,712.6549423859908,90.28392180308889,90.28392180308889,5696,0,5696,0,0,586.6518465727183,9.709336181717708,0
1830,New London,090,0110,1,110,NEW LONDON,Connecticut,1,110,0,090,0110,57,1958536.92747643,693757.12300707,G0900110,0900110,1689892346.37,366886.132339,0,1216.9784256668743,208.11334301850692,208.11334301850692,42201,7470,34731,2,0,652.4710826378155,53.22994524077485,11.448783246914518
