year,NHGISNAM,NHGISST,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,state,ICPSRSTI,ICPSRCTYI,ICPSRFIP,STATE,COUNTY,PID,longitude,latitude,GISJOIN,GISJOIN2,area,SHAPE_LEN,border,longitude_miles,distance,distance_1820,census_pop,urban_census_pop,rural_census_pop,enslaved,farmv_total,land,farmv,improved,unimproved,pc_improved,slavery_legal,area_sq_miles,ruralpopden,urbanpopden
1860,Venango,420,1210,14,1210,VENANGO,Pennsylvania,14,1210,0,420,1210,1538,1348468.73904813,556679.91251618,G4201210,4201210,2350603313.71,235776.510793,0,837.899628077111,70.8390256609048,70.8390256609048,25043,0,25043,0,5375713,338000,15.904476331360947,145759,192241,43.12396449704142,0,907.573013300457,27.59337224994082,0
1860,Wright,190,1970,31,1970,WRIGHT,Iowa,31,1970,0,190,1970,735,184343.18919252,588278.41863472,G1901970,1901970,1508755622.34,155261.194072,0,114.54554724938856,149.8567544248818,149.8567544248818,653,0,653,0,49095,6619,7.417283577579695,1685,4934,25.45701767638616,0,582.5338024985251,1.1209649932746233,0
1860,Union,130,2910,44,2910,UNION,Georgia,44,2910,0,130,2910,306,1086493.91229458,-229809.40559317,G1302910,1302910,852175323.608,166064.864033,0,675.1160176410884,-245.1113581272485,-245.1113581272485,4413,0,4413,116,352560,121643,2.8983172069087413,21076,100567,17.326110010440388,1,329.0267319016561,13.412284085534473,0
1860,Grayson,480,1810,49,1810,GRAYSON,Texas,49,1810,0,480,1810,1698,-62424.16804244,-433290.35354655,G4801810,4801810,2536123811.01,242608.326442,0,-38.78857972095462,-472.42696675785675,-472.42696675785675,8184,0,8184,1292,2041180,415195,4.916196004287142,40775,374420,9.820686665301846,1,979.202877761855,8.357818574538925,0
1860,Orleans,220,0710,45,710,ORLEANS,Louisiana,45,710,0,220,0710,335,585887.88001923,-816852.30625218,G2200710,2200710,625599161.328,260615.308339,0,364.05385052495296,-484.2312638015756,-484.2312638015756,174491,174491,0,14484,1301000,25464,51.091737354696825,5749,19715,22.576971410618913,1,241.54518657108457,0,722.394854880078
1860,Jefferson,480,2450,49,2450,JEFFERSON,Texas,49,2450,0,480,2450,1715,176522.08422873,-848647.28344952,G4802450,4802450,2488680959.55,344947.669664,0,109.68573793342505,-566.8020780338754,-566.8020780338754,1995,0,1995,309,14955,18807,0.7951826447599298,971,17836,5.162971234114957,1,960.8850904057404,2.0762107976486526,0
1860,Vermillion,220,1130,45,1130,VERMILLION,Louisiana,45,1130,0,220,1130,351,344871.83030991,-849421.45870932,G2201130,2201130,4457936321.89,439625.483649,0,214.2934203687403,-528.0329893470449,-528.0329893470449,4324,0,4324,1316,412365,91354,4.513923856645577,85753,5601,93.86890557611052,1,1721.2188365265006,2.512173297339711,0
1860,Auglaize,390,0110,24,110,AUGLAIZE,Ohio,24,110,0,390,0110,1801,986386.415702,404239.35137364,G3900110,3900110,1040444338.66,170116.088571,0,612.9121031314622,101.00199672756763,101.00199672756763,17187,0,17187,0,3738720,180356,20.729667989975383,77443,102913,42.93896515779902,0,401.7178049998935,42.78376458819035,0
1860,Atchison,290,0050,34,50,ATCHISON,Missouri,34,50,0,290,0050,222,48209.90688388,328584.31096483,G2900050,2900050,1417653054.53,188555.808783,1,29.95624731808737,-10.472408714755206,-10.472408714755206,4649,0,4649,59,1318545,106738,12.353098240551631,30964,75774,29.009349997189382,1,547.3589044183246,8.493513054182369,0
1860,Powhatan,510,1450,40,1450,POWHATAN,Virginia,40,1450,0,510,1450,1145,1573100.62432945,155756.12327355,G5101450,5101450,679616442.549,145232.466248,0,977.4794104488848,-151.26780043388757,-151.26780043388757,8392,0,8392,5403,2100284,143729,14.61280604470914,68516,75213,47.67026835224624,1,262.40137544910704,31.98153967614257,0
1860,Hopkins,210,1070,51,1070,HOPKINS,Kentucky,51,1070,0,210,1070,2075,741693.66341701,11594.35057067,G2101070,2101070,1435465370.75,253298.208612,0,460.8670759123034,-31.01744972126074,-31.01744972126074,11875,0,11875,2009,2373995,278754,8.516451781857839,79736,199018,28.60443258213335,1,554.2362781595073,21.42588002256759,0
1860,Taylor,190,1730,31,1730,TAYLOR,Iowa,31,1730,0,190,1730,725,109171.19965994,363536.99311599,G1901730,1901730,1385187494.97,150093.791973,1,67.83583849067695,11.503782846233388,11.503782846233388,3590,0,3590,0,577647,80844,7.145205581119193,18288,62556,22.621344812230966,0,534.82388179392035,6.712490077964222,0
1860,Clark,535,0055,73,110,CLARK,Washington Territory,73,110,0,535,0055,1211,-2030078.66732484,1233183.46726589,G5350055,5350055,3628508856.93,271652.989046,0,-1261.4324018512139,1387.8938155960611,1387.8938155960611,2384,0,2384,0,428510,59854,7.159254185183948,13364,46490,22.32766398235707,0,1400.9751019510556,1.7016719259892223,0
1860,Scott,470,1510,54,1510,SCOTT,Tennessee,54,1510,0,470,1510,1633,1019684.29266253,-58005.11746794,G4701510,4701510,1366220212.46,214543.805254,0,633.6024446373988,-135.45081769199308,-135.45081769199308,3519,0,3519,59,203910,117549,1.7346808564938876,13409,104140,11.407157866081379,1,527.500573075125,6.671082799940077,0
1860,Duplin,370,0610,47,610,DUPLIN,North Carolina,47,610,0,370,0610,914,1626864.28834395,-131997.15031824,G3700610,3700610,2121503303.04,203497.035887,0,1010.886602456622,-315.1945893108124,-315.1945893108124,15784,0,15784,7124,3131621,446163,7.019006506590641,106176,339987,23.797580704809675,1,819.1170046586725,19.269530372620235,0
1860,Hill,480,2170,49,2170,HILL,Texas,49,2170,0,480,2170,1708,-106483.77370715,-615408.46785508,G4802170,4802170,2552854396.96,259413.904683,0,-66.16594942234227,-561.4904458500762,-561.4904458500762,3653,0,3653,650,687253,197073,3.487301659791042,13601,183472,6.901503503777788,1,985.6625931108299,3.706136385343427,0
