year,NHGISNAM,NHGISST,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,state,ICPSRSTI,ICPSRCTYI,ICPSRFIP,STATE,COUNTY,PID,longitude,latitude,GISJOIN,GISJOIN2,area,SHAPE_LEN,border,longitude_miles,distance,distance_1820,census_pop,urban_census_pop,rural_census_pop,enslaved,slavery_legal,area_sq_miles,ruralpopden,urbanpopden,farmv_total,land,farmv,improved,unimproved,pc_improved
1790,Elizabeth City,510,0550,40,550,ELIZABETH CITY,Virginia,40,550,0,510,0550,225,1717312.64463939,127891.00991176,G5100550,5100550,136064259.722,143249.830251,0,1067.0886054438267,-185.84219530061912,-144.2107402398899,3450,0,3450,1876,1,52.534704379144166,65.67087491539442,0,NA,NA,NA,NA,NA,NA
1790,Cumberland,340,0110,12,110,CUMBERLAND,New Jersey,12,110,0,340,0110,184,1769750.04077801,404935.9938201,G3400110,3400110,1355212420.76,221264.617869,0,1099.6716928003025,-34.285330999186264,-15.197975944374308,8248,0,8248,120,1,523.2504409389693,15.763006305735779,0,NA,NA,NA,NA,NA,NA
1790,Fayette (old),510,0617,51,670,FAYETTE,Virginia,51,670,0,510,0617,229,1001987.0781883,113731.17690734,G5100617,5100617,1430649579.09,244281.606802,0,622.6059053802667,-59.27900611275004,-59.27900611275004,18410,0,18410,3752,1,552.3768906044905,33.328693348943546,0,NA,NA,NA,NA,NA,NA
1790,Ohio,510,1355,40,1355,OHIO,Virginia,40,1355,0,510,1355,262,1294247.47749958,351158.96328008,G5101355,5101355,3985986516.35,497146.681123,1,804.2080981440761,-6.730370880940604,-6.730370880940604,5212,0,5212,281,1,1538.997997883819,3.3866190905814686,0,NA,NA,NA,NA,NA,NA
1790,Orange,360,0710,13,710,ORANGE,New York,13,710,0,360,0710,179,1793856.12011786,630493.18270521,G3600710,3600710,1750741135.18,215196.765598,0,1114.6505160598726,-24.552309634672927,-120.34492260821477,18477,0,18477,961,1,675.9649313420499,27.334258248155066,0,NA,NA,NA,NA,NA,NA
1790,New Hanover,370,1290,47,1290,NEW HANOVER,North Carolina,47,1290,0,370,1290,136,1635699.22612999,-181289.75923396,G3701290,3701290,3138698599.15,844004.85489,0,1016.3763782820764,-364.2798567177027,-342.7186303653294,6837,0,6837,3737,1,1211.858304145966,5.641748690098093,0,NA,NA,NA,NA,NA,NA
1790,New Haven,090,0090,1,90,NEW HAVEN,Connecticut,1,90,0,090,0090,4,1897677.3244827,669310.49314818,G0900090,0900090,1528737988.55,312354.008005,1,1179.1620215955693,19.803718586731183,172.26811963191398,30703,4487,26216,387,0,590.2490372249918,44.41515080355304,7.601876016766192,NA,NA,NA,NA,NA,NA
1790,Buckingham,510,0290,40,290,BUCKINGHAM,Virginia,40,290,0,510,0290,217,1515880.09706535,144385.31774294,G5100290,5100290,1885593138.8,237264.373214,0,941.9242232023421,-151.63212551992368,-151.63212551992368,9779,0,9779,4168,1,728.0315810235056,13.432109615701231,0,NA,NA,NA,NA,NA,NA
1790,Chesterfield,510,0410,40,410,CHESTERFIELD,Virginia,40,410,0,510,0410,221,1605561.61581017,143413.02806764,G5100410,5100410,1250566303.86,199654.911363,0,997.6497354264657,-162.51428495003086,-162.51428495003086,14214,0,14214,7487,1,482.84634932079416,29.437936146756453,0,NA,NA,NA,NA,NA,NA
1790,Rowan,370,1590,47,1590,ROWAN,North Carolina,47,1590,0,370,1590,147,1392049.01560878,-79843.08859202,G3701590,3701590,3572822637.04,256919.58583,0,864.9791564816347,-214.45563759320046,-214.45563759320046,15972,0,15972,1741,1,1379.4745322504575,11.578321764261554,0,NA,NA,NA,NA,NA,NA
